phylum	class	phylum_class	new_phylum	new_class	marine	top_MOTU_class	pident_max_class	total_reads_class	class_DK_GBIF	class_SCAND_GBIF	notes
NA	Synurophyceae	NA_Synurophyceae	Synurophyceae*	Synurophyceae	yes	Poterioochromonas	81.587	119337	yes	yes	NA
Nematoda	Chromadorea	Nematoda_Chromadorea	Nematoda	Chromadorea	yes	Terschellingia	99.681	299458	yes	yes	NA
Nematoda	NA	Nematoda_NA	Nematoda	NA	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Nemertea	Enopla	Nemertea_Enopla	Nemertea	Enopla	yes	Gurjanovella	100	31568	yes	yes	No results on GBIF, so based on this report https://om.arter.dk/media/1dglswfg/allearter-status2016-endelig-version.pdf
Nemertea	Palaeonemertea	Nemertea_Palaeonemertea	Nemertea	Palaeonemertea	yes	Carinina ochracea	100	6342	yes	yes	NA
Nemertea	Pilidiophora	Nemertea_Pilidiophora	Nemertea	Pilidiophora	yes	Lineidae	99.681	136598	yes	yes	NA
Onychophora	Udeonychophora	Onychophora_Udeonychophora	Onychophora	Udeonychophora	no	Ooperipatus	83.492	141825	#N/A	#N/A	#N/A
Oomycota	NA	Oomycota_NA	Oomycota	Oomycota*	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Placozoa	NA	Placozoa_NA	Placozoa	Placozoa*	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Platyhelminthes	Cestoda	Platyhelminthes_Cestoda	Platyhelminthes	Cestoda	yes	Parachristianella	80.192	39	yes	yes	NA
Platyhelminthes	Rhabditophora	Platyhelminthes_Rhabditophora	Platyhelminthes	Rhabditophora	yes	Monocelis fusca	100	3440637	yes	yes	NA
Platyhelminthes	Trematoda	Platyhelminthes_Trematoda	Platyhelminthes	Trematoda	yes	Cryptocotyle lingua	100	4334	yes	yes	NA
Porifera	Demospongiae	Porifera_Demospongiae	Porifera	Demospongiae	yes	Ptilocaulis	100	460844	yes	yes	NA
Porifera	Homoscleromorpha	Porifera_Homoscleromorpha	Porifera	Homoscleromorpha	yes	Oscarella	81.013	4790	yes	yes	Only one GBIF record in DK
Prasinodermophyta	Prasinodermophyceae	Prasinodermophyta_Prasinodermophyceae	Prasinodermophyta	Prasinodermophyceae	yes	Prasinoderma coloniale	98.722	6485	yes	yes	NA
Rhodophyta	Bangiophyceae	Rhodophyta_Bangiophyceae	Rhodophyta	Bangiophyceae	yes	Pyropia	99.681	11180	yes	yes	NA
Rhodophyta	Compsopogonophyceae	Rhodophyta_Compsopogonophyceae	Rhodophyta	Compsopogonophyceae	yes	Erythrotrichia carnea	98.722	413	yes	yes	NA
Rhodophyta	Florideophyceae	Rhodophyta_Florideophyceae	Rhodophyta	Florideophyceae	yes	Hildenbrandia rubra	100	3475604	yes	yes	NA
Rotifera	Eurotatoria	Rotifera_Eurotatoria	Rotifera	Eurotatoria	yes	Keratella	100	158478	yes	yes	NA
Streptophyta	Magnoliopsida	Streptophyta_Magnoliopsida	Streptophyta	Magnoliopsida	yes	Silene	100	3138	yes	yes	R. maritima er alm. havgræs
Streptophyta	Zygnemophyceae	Streptophyta_Zygnemophyceae	Streptophyta	Zygnemophyceae	no	Roya	83.067	2919	0	0	NA
Tardigrada	Heterotardigrada	Tardigrada_Heterotardigrada	Tardigrada	Heterotardigrada	yes	Echiniscoides	96.805	1263	yes	yes	NA
Tubulinea	Echinamoebida	Tubulinea_Echinamoebida	Tubulinea	Echinamoebida	no	Vermamoeba vermiformis	99.681	1044	0	0	NA
Tubulinea	Elardia	Tubulinea_Elardia	Tubulinea	Elardia	yes	Copromyxa	91.857	1599	yes	yes	NA
Xenacoelomorpha	NA	Xenacoelomorpha_NA	Xenacoelomorpha	Xenacoelomorpha*	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Zoopagomycota	Harpellomycetes	Zoopagomycota_Harpellomycetes	Zoopagomycota	Harpellomycetes	no	Zancudomyces	77.848	77	#N/A	#N/A	#N/A
