kingdom	phylum	class
seq110325	Fungi	Chytridiomycota	Chytridiomycetes
seq11034	Metazoa	Nematoda	Chromadorea
seq11035	Chromista	Ciliophora	Oligohymenophorea
seq11036	Chromista	Cercozoa	Imbricatea
seq11039	Chromista	Myzozoa	Dinophyceae
seq11041	Chromista	Endomyxa	Ascetosporea
seq11046	Chromista	Endomyxa	Ascetosporea
seq110483	Metazoa	Mollusca	Gastropoda
seq1105	Chromista	Ciliophora	Oligohymenophorea
seq110571	Fungi	Ascomycota	Dothideomycetes
seq11059	Chromista	Ciliophora	Spirotrichea
seq1106	Metazoa	Platyhelminthes	Rhabditophora
seq11064	Chromista	Bacillariophyta	Fragilariophyceae
seq11066	Metazoa	Nematoda	Chromadorea
seq1107	Metazoa	Arthropoda	Hexanauplia
seq11070	Metazoa	Arthropoda	Hexanauplia
seq110761	Chromista	Ciliophora	Litostomatea
seq110766	Metazoa	Arthropoda	Collembola
seq11078	Chromista	Cryptophyta	Cryptophyceae
seq110808	Plantae	Rhodophyta	Florideophyceae
seq110851	Protozoa	Sulcozoa	Breviatea
seq11087	Chromista	Ciliophora	Plagiopylea
seq11088	Chromista	Ciliophora	Karyorelictea
seq110880	Chromista	NA	Developea
seq110909	Chromista	Myzozoa	Dinophyceae
seq110920	Chromista	Ciliophora	Prostomatea
seq110923	Chromista	Ciliophora	Karyorelictea
seq11094	Chromista	Ciliophora	Litostomatea
seq11098	Metazoa	Arthropoda	Hexanauplia
seq111	Metazoa	Chordata	Ascidiacea
seq1110	Metazoa	Annelida	Polychaeta
seq11105	Metazoa	Platyhelminthes	Rhabditophora
seq111069	Chromista	Bacillariophyta	Bacillariophyceae
seq111148	Fungi	Chytridiomycota	Chytridiomycetes
seq111163	Chromista	Cercozoa	Imbricatea
seq11118	Plantae	Rhodophyta	Florideophyceae
seq111212	Chromista	Myzozoa	Dinophyceae
seq111239	Metazoa	Cnidaria	Hydrozoa
seq11132	Chromista	Myzozoa	Dinophyceae
seq11134	Chromista	Bacillariophyta	Bacillariophyceae
seq111370	Chromista	Bacillariophyta	Bacillariophyceae
seq111390	Chromista	NA	Bigyra
seq111395	Chromista	Bacillariophyta	Bacillariophyceae
seq111425	Plantae	Chlorophyta	Mamiellophyceae
seq11145	Chromista	Ciliophora	Oligohymenophorea
seq11146	Chromista	Ciliophora	Spirotrichea
seq1115	Metazoa	Platyhelminthes	Rhabditophora
seq11155	Plantae	Prasinodermophyta	Prasinodermophyceae
seq111590	Metazoa	Nematoda	Enoplea
seq111595	Chromista	Bacillariophyta	Bacillariophyceae
seq111597	Metazoa	Chordata	Ascidiacea
seq1116	Chromista	Ochrophyta	Olisthodiscophyceae
seq11166	Chromista	Cercozoa	Imbricatea
seq11171	Chromista	Ochrophyta	Dictyochophyceae
seq11172	Chromista	Ciliophora	Spirotrichea
seq111722	Plantae	Streptophyta	Zygnemophyceae
seq11178	Chromista	Cryptophyta	Cryptophyceae
seq11181	Chromista	Cercozoa	Imbricatea
seq11187	Metazoa	Arthropoda	Hexanauplia
seq11189	Chromista	Cryptophyta	Cryptophyceae
seq1119	Protozoa	NA	Choanoflagellata
seq11194	Chromista	Bacillariophyta	Bacillariophyceae
seq112	Metazoa	Nematoda	Chromadorea
seq1120	Metazoa	Platyhelminthes	Rhabditophora
seq11203	Metazoa	Platyhelminthes	Rhabditophora
seq112067	Metazoa	Nematoda	Chromadorea
seq11212	Chromista	Ciliophora	Spirotrichea
seq11215	Chromista	Myzozoa	Dinophyceae
seq11217	Metazoa	Platyhelminthes	Rhabditophora
seq11221	Chromista	Myzozoa	Dinophyceae
seq112280	Metazoa	Arthropoda	Arachnida
seq112294	Chromista	Bacillariophyta	Fragilariophyceae
seq1123	Metazoa	Nematoda	Chromadorea
seq112373	Chromista	Ciliophora	Oligohymenophorea
seq11247	Protozoa	NA	Choanoflagellata
seq1125	Metazoa	Nematoda	Enoplea
seq11251	Metazoa	Arthropoda	Hexanauplia
seq11255	Chromista	Ciliophora	Spirotrichea
seq112574	Chromista	Ciliophora	Litostomatea
seq1126	Chromista	Ochrophyta	Dictyochophyceae
seq11270	Chromista	Myzozoa	Dinophyceae
seq112703	Chromista	Apicomplexa	Conoidasida
seq112839	Chromista	Ciliophora	Litostomatea
seq1129	Metazoa	Platyhelminthes	Rhabditophora
seq11290	Chromista	Cryptophyta	Cryptophyceae
seq112954	Chromista	Ciliophora	Litostomatea
seq11297	Chromista	Ciliophora	Litostomatea
seq113	Metazoa	Nematoda	Chromadorea
seq1130	Metazoa	Nematoda	Chromadorea
seq113035	Metazoa	Mollusca	Bivalvia
seq11305	Chromista	Myzozoa	Dinophyceae
seq113072	Fungi	Basidiomycota	Agaricomycetes
seq11308	Plantae	Rhodophyta	Florideophyceae
seq11309	Metazoa	Platyhelminthes	Rhabditophora
seq113124	Chromista	NA	Bigyra
seq11315	Chromista	Ciliophora	Karyorelictea
seq11316	Chromista	Ciliophora	Litostomatea
seq113189	Chromista	Myzozoa	Dinophyceae
seq11320	Chromista	Cercozoa	Imbricatea
seq113278	Metazoa	Annelida	Polychaeta
seq11328	Protozoa	Sulcozoa	Breviatea
seq1133	Chromista	Ciliophora	Spirotrichea
seq113306	Chromista	Cercozoa	Imbricatea
seq113346	Metazoa	Platyhelminthes	Rhabditophora
seq113357	Chromista	Myzozoa	Dinophyceae
seq11342	Chromista	Bacillariophyta	Bacillariophyceae
seq113438	Protozoa	Choanozoa	Ichthyosporea
seq113466	Protozoa	Choanozoa	Ichthyosporea
seq113469	Chromista	Bacillariophyta	Bacillariophyceae
seq11348	Fungi	Chytridiomycota	Chytridiomycetes
seq11349	Fungi	Chytridiomycota	Chytridiomycetes
seq11352	Chromista	Endomyxa	Ascetosporea
seq113626	Chromista	Myzozoa	Dinophyceae
seq113629	Chromista	Myzozoa	Dinophyceae
seq11368	Chromista	Myzozoa	Dinophyceae
seq11373	Chromista	Cercozoa	Imbricatea
seq113788	Chromista	Ciliophora	Nassophorea
seq1138	Metazoa	Nematoda	Chromadorea
seq113832	Chromista	NA	Bigyra
seq11384	Metazoa	Annelida	Clitellata
seq1139	Metazoa	Platyhelminthes	Rhabditophora
seq11395	Metazoa	Arthropoda	Hexanauplia
seq113974	Chromista	NA	Bigyra
seq11399	Chromista	Cercozoa	Imbricatea
seq113998	Metazoa	Mollusca	Gastropoda
seq114	Metazoa	Annelida	Polychaeta
seq1140	Chromista	Ciliophora	Spirotrichea
seq11407	Metazoa	Nematoda	Enoplea
seq11408	Chromista	Ciliophora	Litostomatea
seq11409	Plantae	Prasinodermophyta	Prasinodermophyceae
seq11412	Chromista	Ciliophora	Plagiopylea
seq11414	Chromista	Bacillariophyta	Bacillariophyceae
seq114146	Protozoa	Sulcozoa	Breviatea
seq114150	Chromista	Myzozoa	Dinophyceae
seq11417	Chromista	Ciliophora	Spirotrichea
seq114191	Chromista	Ochrophyta	Chrysophyceae
seq114192	Plantae	Streptophyta	Zygnemophyceae
seq114197	Chromista	Cercozoa	Thecofilosea
seq114198	Chromista	Ciliophora	Spirotrichea
seq11420	Chromista	Ciliophora	Spirotrichea
seq11425	Metazoa	Nematoda	Chromadorea
