kingdom	phylum	class
seq76816	Chromista	Myzozoa	Dinophyceae
seq76818	Protozoa	NA	Choanoflagellata
seq76823	Metazoa	Nemertea	Palaeonemertea
seq76825	Fungi	Ascomycota	Dothideomycetes
seq76827	Chromista	NA	Bigyra
seq7684	Chromista	Ciliophora	Spirotrichea
seq7685	Chromista	Ciliophora	Litostomatea
seq7686	Chromista	Bacillariophyta	Bacillariophyceae
seq76875	Metazoa	Mollusca	Gastropoda
seq76878	Plantae	Streptophyta	Magnoliopsida
seq7688	Plantae	Rhodophyta	Bangiophyceae
seq76886	Metazoa	Annelida	Polychaeta
seq7692	Plantae	Streptophyta	Pinopsida
seq76948	Fungi	Basidiomycota	Agaricomycetes
seq7698	Metazoa	Porifera	Demospongiae
seq77	Metazoa	Nematoda	Chromadorea
seq770	Chromista	Bacillariophyta	Bacillariophyceae
seq77009	Chromista	Ciliophora	Colpodea
seq7701	Chromista	Ciliophora	Litostomatea
seq77018	Chromista	Ciliophora	Litostomatea
seq7702	Chromista	Myzozoa	Dinophyceae
seq7704	Chromista	Ciliophora	Karyorelictea
seq77059	Chromista	Ciliophora	Litostomatea
seq7707	Chromista	Ciliophora	Karyorelictea
seq77070	Chromista	Bacillariophyta	Coscinodiscophyceae
seq77074	Protozoa	Choanozoa	Ichthyosporea
seq77088	Chromista	Myzozoa	Dinophyceae
seq77103	Chromista	NA	Bigyra
seq77128	Chromista	Heliozoa	Centroplasthelida
seq77139	Chromista	Apicomplexa	Conoidasida
seq7714	Metazoa	Bryozoa	Phylactolaemata
seq77140	Chromista	Myzozoa	Dinophyceae
seq772	Fungi	Ascomycota	Saccharomycetes
seq7720	Chromista	Cercozoa	Thecofilosea
seq77211	Chromista	Heliozoa	Centroplasthelida
seq77223	Chromista	Heliozoa	Centroplasthelida
seq77233	Fungi	Chytridiomycota	Chytridiomycetes
seq77262	Chromista	Ciliophora	Karyorelictea
seq7728	Metazoa	Mollusca	Bivalvia
seq77284	Chromista	Ciliophora	Oligohymenophorea
seq77311	Chromista	Myzozoa	Dinophyceae
seq77313	Chromista	Ciliophora	Spirotrichea
seq77320	Chromista	PX clade	Aurearenophyceae
seq77322	Chromista	Cercozoa	Imbricatea
seq77344	Chromista	Myzozoa	Dinophyceae
seq7738	Chromista	Cryptophyta	Cryptophyceae
seq77394	Chromista	Ciliophora	Nassophorea
seq7741	Metazoa	Annelida	Polychaeta
seq7743	Chromista	Bacillariophyta	Bacillariophyceae
seq77445	Protozoa	Discosea	Flabellinia
seq77446	Chromista	Bacillariophyta	Bacillariophyceae
seq77449	Chromista	Ciliophora	Oligohymenophorea
seq77452	Fungi	Ascomycota	Saccharomycetes
seq77472	Chromista	Ciliophora	Oligohymenophorea
seq77487	Metazoa	Arthropoda	Hexanauplia
seq77514	Chromista	Myzozoa	Dinophyceae
seq77523	Metazoa	Nemertea	Palaeonemertea
seq77528	Chromista	Bacillariophyta	Mediophyceae
seq7753	Protozoa	Choanozoa	Ichthyosporea
seq77545	Chromista	Ciliophora	Oligohymenophorea
seq77564	Chromista	NA	Bigyra
seq77567	Chromista	Myzozoa	Dinophyceae
seq77570	Chromista	Myzozoa	Dinophyceae
seq7758	Chromista	Myzozoa	Dinophyceae
seq77585	Metazoa	Annelida	Polychaeta
seq77596	Chromista	Bacillariophyta	Coscinodiscophyceae
seq7761	Metazoa	Bryozoa	Phylactolaemata
seq77614	Chromista	Myzozoa	Dinophyceae
seq7763	Chromista	Cercozoa	Imbricatea
seq7765	Metazoa	Annelida	Polychaeta
seq77656	Metazoa	Arthropoda	Malacostraca
seq77657	Chromista	Myzozoa	Dinophyceae
seq77666	Metazoa	Nematoda	Enoplea
seq7767	Metazoa	Nematoda	Enoplea
seq77683	Metazoa	Platyhelminthes	Rhabditophora
seq7769	Metazoa	Nematoda	Chromadorea
seq777	Chromista	Bacillariophyta	Bacillariophyceae
seq7770	Metazoa	Porifera	Demospongiae
seq77733	Chromista	Myzozoa	Dinophyceae
seq77735	Chromista	Cercozoa	Imbricatea
seq7774	Chromista	Ciliophora	Karyorelictea
seq77755	Chromista	Myzozoa	Dinophyceae
seq77784	Chromista	Ciliophora	Litostomatea
seq77786	Chromista	NA	Bigyra
seq778	Metazoa	Platyhelminthes	Rhabditophora
seq7781	Fungi	Basidiomycota	Agaricomycetes
seq7782	Chromista	PX clade	Phaeophyceae
seq77823	Metazoa	Platyhelminthes	Rhabditophora
seq7784	Metazoa	Nematoda	Chromadorea
seq77858	Plantae	Chlorophyta	Ulvophyceae
seq7791	Chromista	Ciliophora	Spirotrichea
seq7792	Chromista	Myzozoa	Dinophyceae
seq77934	Chromista	Myzozoa	Dinophyceae
seq77968	Chromista	Ciliophora	Nassophorea
seq7799	Chromista	Bacillariophyta	Mediophyceae
seq77991	Chromista	Ciliophora	Nassophorea
seq78	Metazoa	Arthropoda	Hexanauplia
seq780	Chromista	Ochrophyta	Dictyochophyceae
seq7801	Chromista	Cryptophyta	Cryptophyceae
seq78019	Chromista	Myzozoa	Dinophyceae
seq78035	Chromista	Myzozoa	Dinophyceae
seq7805	Plantae	Rhodophyta	Bangiophyceae
seq7810	Metazoa	Nematoda	Chromadorea
seq7818	Plantae	Rhodophyta	Florideophyceae
seq78182	Fungi	Ascomycota	Saccharomycetes
seq78192	Fungi	Zoopagomycota	Entomophthoromycetes
seq78202	Chromista	PX clade	Phaeophyceae
seq78205	Metazoa	Platyhelminthes	Trematoda
seq78206	Metazoa	Mollusca	Gastropoda
seq78209	Chromista	Ciliophora	Spirotrichea
seq78216	Chromista	Ochrophyta	Synurophyceae
seq78220	Chromista	Myzozoa	Dinophyceae
seq78224	Chromista	Cercozoa	Imbricatea
seq78243	Chromista	NA	Bigyra
seq78247	Chromista	Myzozoa	Dinophyceae
seq78259	Metazoa	Nematoda	Chromadorea
seq7826	Chromista	Ciliophora	Odontostomatea
seq78261	Chromista	Myzozoa	Dinophyceae
seq78266	Fungi	Basidiomycota	Agaricomycetes
seq7827	Metazoa	Nematoda	Chromadorea
seq78310	Protozoa	Choanozoa	Ichthyosporea
seq78318	Fungi	Ascomycota	Leotiomycetes
seq78331	Chromista	Heliozoa	Centroplasthelida
seq78341	Chromista	Myzozoa	Dinophyceae
seq78387	Chromista	Myzozoa	Dinophyceae
seq78397	Chromista	Bacillariophyta	Bacillariophyceae
seq784	Metazoa	Chordata	Actinopteri
seq7842	Plantae	Chlorophyta	Pyramimonadophyceae
seq78434	Chromista	Ciliophora	Oligohymenophorea
seq7844	Chromista	NA	Bigyra
seq78443	Chromista	Myzozoa	Dinophyceae
seq78471	Protozoa	Choanozoa	Ichthyosporea
seq78483	Protozoa	Discosea	Flabellinia
seq78497	Chromista	Myzozoa	Dinophyceae
seq7853	Chromista	Cercozoa	Imbricatea
seq78530	Metazoa	Mollusca	Bivalvia
seq7855	Chromista	Bacillariophyta	Bacillariophyceae
seq78576	Chromista	Ciliophora	Odontostomatea
seq78581	Chromista	Cercozoa	Imbricatea
seq78592	Chromista	Ciliophora	Karyorelictea
seq7863	Chromista	Ciliophora	Oligohymenophorea
seq78633	Chromista	Ciliophora	Nassophorea
seq78650	Chromista	NA	Bigyra
seq7866	Chromista	Ciliophora	Litostomatea
seq78665	Chromista	Ciliophora	Litostomatea
seq78667	Chromista	Ciliophora	Karyorelictea
seq78681	Protozoa	Discosea	Flabellinia
seq7871	Chromista	Bacillariophyta	Bacillariophyceae
seq78719	Protozoa	Sarcomastigophora	Acantharea
seq7873	Metazoa	Nematoda	Chromadorea
seq78730	Chromista	Ciliophora	Nassophorea
seq78751	Chromista	Cryptophyta	Cryptophyceae
seq7876	Chromista	Ciliophora	Karyorelictea
seq78760	Metazoa	Arthropoda	Arachnida
seq78780	Chromista	Ciliophora	Litostomatea
seq78786	Chromista	Myzozoa	Dinophyceae
seq78791	Metazoa	Annelida	Clitellata
seq78805	Protozoa	Choanozoa	Ichthyosporea
seq7881	Chromista	Cryptophyta	Cryptophyceae
seq78846	Chromista	Ciliophora	Spirotrichea
seq78874	Metazoa	Chordata	Ascidiacea
seq7893	Chromista	Apicomplexa	Conoidasida
seq7894	Chromista	Cercozoa	Imbricatea
seq78941	Chromista	Apicomplexa	Conoidasida
seq78942	Metazoa	Arthropoda	Insecta
seq7898	Chromista	Cercozoa	Imbricatea
seq78981	Metazoa	Platyhelminthes	Catenulida
seq79	Chromista	Bacillariophyta	Coscinodiscophyceae
seq7901	Chromista	Ciliophora	Armophorea
seq79028	Metazoa	Platyhelminthes	Rhabditophora
seq79033	Plantae	Rhodophyta	Florideophyceae
seq7906	Chromista	Ciliophora	Karyorelictea
seq79078	Fungi	Basidiomycota	Exobasidiomycetes
seq79079	Metazoa	Arthropoda	Hexanauplia
seq7909	Chromista	Myzozoa	Dinophyceae
seq79090	Chromista	Myzozoa	Dinophyceae
seq791	Chromista	Bacillariophyta	Bacillariophyceae
seq79123	Metazoa	Cnidaria	Anthozoa
seq7913	Chromista	Cryptophyta	Cryptophyceae
seq79133	Metazoa	Arthropoda	Malacostraca
seq79155	Chromista	Bacillariophyta	Bacillariophyceae
seq7917	Metazoa	Nematoda	Enoplea
seq79176	Chromista	Myzozoa	Dinophyceae
seq7918	Chromista	Ciliophora	Oligohymenophorea
seq7919	Chromista	Myzozoa	Dinophyceae
seq7920	Plantae	Chlorophyta	Trebouxiophyceae
seq79219	Chromista	Ciliophora	Karyorelictea
seq79226	Fungi	Ascomycota	Saccharomycetes
seq7924	Chromista	Myzozoa	Dinophyceae
seq79241	Chromista	Ciliophora	Spirotrichea
seq79263	Chromista	Myzozoa	Dinophyceae
seq793	Metazoa	Platyhelminthes	Rhabditophora
seq7930	Fungi	Basidiomycota	Agaricomycetes
seq7937	Chromista	Myzozoa	Dinophyceae
seq7939	Metazoa	Annelida	Polychaeta
seq79399	Chromista	Apicomplexa	Conoidasida
seq7940	Chromista	Ciliophora	Litostomatea
seq79442	Chromista	Bacillariophyta	Fragilariophyceae
seq79477	Plantae	Chlorophyta	Ulvophyceae
seq7952	Chromista	NA	Bigyra
seq79525	Fungi	Chytridiomycota	Chytridiomycetes
seq79540	Chromista	Ochrophyta	Dictyochophyceae
seq7959	Chromista	Cercozoa	Thecofilosea
seq79597	Metazoa	Platyhelminthes	Trematoda
seq7961	Chromista	Ciliophora	Oligohymenophorea
seq79624	Protozoa	Choanozoa	Ichthyosporea
seq79628	Protozoa	NA	Choanoflagellata
seq79640	Chromista	NA	Bigyra
seq79645	Metazoa	Mollusca	Bivalvia
seq79660	Chromista	NA	Bigyra
seq79687	Chromista	Cercozoa	Imbricatea
seq79700	Metazoa	Mollusca	Bivalvia
seq7971	Chromista	Cryptophyta	Cryptophyceae
seq79711	Chromista	Bacillariophyta	Bacillariophyceae
seq79713	Chromista	Heliozoa	Centroplasthelida
seq79715	Chromista	NA	Bigyra
seq7973	Chromista	Cercozoa	Imbricatea
seq7974	Chromista	Bacillariophyta	Bacillariophyceae
seq79740	Chromista	Ciliophora	Spirotrichea
seq79755	Metazoa	Cnidaria	Anthozoa
seq79775	Metazoa	Platyhelminthes	Catenulida
seq79801	Chromista	Bacillariophyta	Bacillariophyceae
seq79807	Chromista	Ochrophyta	Eustigmatophyceae
seq79823	Plantae	Rhodophyta	Florideophyceae
seq79830	Chromista	Apicomplexa	Conoidasida
seq79850	Chromista	Apicomplexa	Marosporida
seq7986	Chromista	Ciliophora	Oligohymenophorea
seq79871	Chromista	Myzozoa	Dinophyceae
seq79889	Metazoa	Annelida	Polychaeta
seq799	Metazoa	Chordata	Actinopteri
seq7993	Chromista	Myzozoa	Dinophyceae
seq79953	Chromista	Ciliophora	Litostomatea
seq79954	Chromista	Myzozoa	Dinophyceae
seq7996	Chromista	Myzozoa	Dinophyceae
seq8	Metazoa	Arthropoda	Hexanauplia
seq80	Metazoa	Nematoda	Chromadorea
seq8000	Metazoa	Nematoda	Chromadorea
seq80005	Chromista	Ciliophora	Colpodea
seq80025	Chromista	Myzozoa	Dinophyceae
seq80078	Chromista	Ciliophora	Spirotrichea
seq8008	Chromista	Bacillariophyta	Mediophyceae
seq801	Chromista	Ciliophora	Spirotrichea
seq80100	Metazoa	Chordata	Ascidiacea
seq8012	Fungi	Mucoromycota	Glomeromycetes
seq80137	Metazoa	Arthropoda	Hexanauplia
seq80153	Chromista	Bacillariophyta	Fragilariophyceae
seq802	Metazoa	Platyhelminthes	Rhabditophora
seq8020	Chromista	NA	Bigyra
seq80205	Chromista	Ciliophora	Oligohymenophorea
seq8021	Chromista	Endomyxa	Phytomyxea
seq80223	Chromista	Bacillariophyta	Fragilariophyceae
seq80269	Chromista	Ciliophora	Oligohymenophorea
seq80284	Chromista	Cryptophyta	Cryptophyceae
seq80289	Chromista	Myzozoa	Dinophyceae
seq8029	Chromista	Bacillariophyta	Bacillariophyceae
seq80291	Metazoa	Nematoda	Chromadorea
seq803	Chromista	Ciliophora	Spirotrichea
seq80309	Metazoa	Arthropoda	Insecta
seq80313	Chromista	Myzozoa	Dinophyceae
seq8034	Chromista	Bacillariophyta	Bacillariophyceae
seq80343	Chromista	Bacillariophyta	Bacillariophyceae
seq8035	Chromista	Ciliophora	Oligohymenophorea
seq8036	Chromista	Ciliophora	Spirotrichea
seq80371	Chromista	Ciliophora	Nassophorea
seq80385	Chromista	NA	Bigyra
seq8039	Chromista	NA	Bigyra
seq804	Chromista	Ochrophyta	Dictyochophyceae
seq80417	Chromista	Endomyxa	Phytomyxea
seq8042	Chromista	Myzozoa	Dinophyceae
seq8043	Chromista	Ciliophora	Spirotrichea
seq80430	Chromista	Myzozoa	Dinophyceae
seq80479	Metazoa	Arthropoda	Ostracoda
seq80488	Chromista	NA	Bigyra
seq8049	Fungi	Basidiomycota	Pucciniomycetes
seq80509	Chromista	Bacillariophyta	Mediophyceae
seq80510	Metazoa	Mollusca	Bivalvia
seq80516	Metazoa	Mollusca	Bivalvia
seq80533	Chromista	Ciliophora	Spirotrichea
seq80535	Metazoa	Annelida	Polychaeta
seq80548	Chromista	Myzozoa	Dinophyceae
seq80583	Chromista	Myzozoa	Dinophyceae
seq80590	Metazoa	Annelida	Polychaeta
seq806	Chromista	NA	Bigyra
seq8064	Chromista	NA	Bigyra
seq80649	Chromista	Heliozoa	Centroplasthelida
seq8065	Chromista	Cercozoa	Thecofilosea
seq80651	Chromista	Myzozoa	Dinophyceae
seq80652	Chromista	Ciliophora	Oligohymenophorea
seq80684	Metazoa	Platyhelminthes	Monogenea
seq807	Metazoa	Platyhelminthes	Rhabditophora
seq80708	Chromista	Ciliophora	Litostomatea
seq8073	Fungi	Mucoromycota	Glomeromycetes
seq80750	Chromista	Myzozoa	Dinophyceae
seq80762	Chromista	Myzozoa	Dinophyceae
seq8077	Chromista	Ciliophora	Oligohymenophorea
seq80775	Fungi	Chytridiomycota	Chytridiomycetes
seq8078	Chromista	Ciliophora	Spirotrichea
seq8081	Metazoa	Platyhelminthes	Rhabditophora
seq8088	Metazoa	Arthropoda	Hexanauplia
seq8089	Chromista	Myzozoa	Dinophyceae
seq809	Metazoa	Platyhelminthes	Rhabditophora
seq8093	Chromista	Ochrophyta	Chrysophyceae
seq80968	Protozoa	Evosea	Variosea
seq80979	Chromista	Ciliophora	Litostomatea
seq81	Chromista	Cryptophyta	Cryptophyceae
seq810	Chromista	Ciliophora	Spirotrichea
seq8100	Chromista	Bacillariophyta	Bacillariophyceae
seq81002	Chromista	Ciliophora	Armophorea
seq8109	Chromista	Ciliophora	Oligohymenophorea
seq81093	Chromista	Ciliophora	Litostomatea
seq811	Chromista	Ciliophora	Oligohymenophorea
seq81109	Chromista	Heliozoa	Centroplasthelida
seq81112	Chromista	Myzozoa	Dinophyceae
seq81127	Chromista	Bacillariophyta	Fragilariophyceae
seq812	Chromista	Myzozoa	Dinophyceae
seq81243	Protozoa	Evosea	Variosea
seq81246	Protozoa	Evosea	Variosea
seq8126	Chromista	NA	Bigyra
seq81264	Chromista	NA	Bigyra
seq81292	Chromista	PX clade	Phaeophyceae
seq8130	Metazoa	Mollusca	Bivalvia
seq81301	Chromista	Myzozoa	Dinophyceae
seq81306	Chromista	Ciliophora	Litostomatea
seq81309	Metazoa	Nematoda	Chromadorea
seq8133	Chromista	Heliozoa	Centroplasthelida
seq81337	Chromista	Ciliophora	Spirotrichea
seq81339	Chromista	Cercozoa	Imbricatea
seq81378	Fungi	Basidiomycota	Agaricomycetes
seq81399	Chromista	Endomyxa	Ascetosporea
seq814	Metazoa	Platyhelminthes	Rhabditophora
seq8142	Chromista	Cryptophyta	Cryptophyceae
seq81462	Chromista	Ciliophora	Oligohymenophorea
seq8147	Chromista	Ciliophora	Oligohymenophorea
seq81488	Chromista	Myzozoa	Dinophyceae
seq81489	Protozoa	Discosea	Flabellinia
seq81520	Metazoa	Nematoda	Chromadorea
seq81536	Chromista	Ciliophora	Karyorelictea
seq81552	Chromista	Myzozoa	Dinophyceae
seq81555	Chromista	Ciliophora	Litostomatea
seq8156	Metazoa	Nematoda	Chromadorea
seq81582	Chromista	Bacillariophyta	Bacillariophyceae
seq81607	Protozoa	Discosea	Flabellinia
seq8161	Plantae	Rhodophyta	Florideophyceae
seq81654	Chromista	Bacillariophyta	Fragilariophyceae
seq81691	Metazoa	Nematoda	Chromadorea
seq817	Metazoa	Platyhelminthes	Rhabditophora
seq81701	Metazoa	Nematoda	Chromadorea
seq81706	Chromista	Ciliophora	Nassophorea
seq8174	Metazoa	Nematoda	Chromadorea
seq8176	Chromista	Myzozoa	Dinophyceae
seq81777	Chromista	Cercozoa	Thecofilosea
seq8178	Chromista	Myzozoa	Dinophyceae
seq818	Chromista	Ciliophora	Oligohymenophorea
seq81801	Chromista	Myzozoa	Dinophyceae
seq8183	Chromista	NA	Bigyra
seq81852	Chromista	Myzozoa	Dinophyceae
seq8186	Chromista	Ciliophora	Oligohymenophorea
seq81861	Chromista	Myzozoa	Dinophyceae
seq8187	Metazoa	Arthropoda	Hexanauplia
seq81879	Chromista	Ciliophora	Litostomatea
seq819	Chromista	Bacillariophyta	Fragilariophyceae
seq8190	Chromista	NA	Bigyra
seq8192	Chromista	Ciliophora	Oligohymenophorea
seq81940	Chromista	Ciliophora	Spirotrichea
seq81958	Metazoa	Nematoda	Chromadorea
seq82	Metazoa	Cnidaria	Scyphozoa
seq8202	Chromista	Ciliophora	Litostomatea
seq82050	Chromista	Endomyxa	Phytomyxea
seq8206	Chromista	Bacillariophyta	Bacillariophyceae
seq82062	Metazoa	Arthropoda	Hexanauplia
seq8207	Plantae	Rhodophyta	Florideophyceae
seq82098	Chromista	Ciliophora	Oligohymenophorea
seq821	Plantae	Streptophyta	Magnoliopsida
seq82100	Fungi	Ascomycota	Saccharomycetes
seq82112	Metazoa	Arthropoda	Malacostraca
seq82139	Metazoa	Arthropoda	Malacostraca
seq82143	Fungi	Chytridiomycota	Chytridiomycetes
seq8215	Metazoa	Platyhelminthes	Rhabditophora
seq82169	Chromista	NA	Bigyra
seq8217	Chromista	Cercozoa	Imbricatea
seq82184	Metazoa	Mollusca	Bivalvia
seq82185	Chromista	Ciliophora	Spirotrichea
seq8219	Chromista	Ciliophora	Oligohymenophorea
seq8221	Chromista	Bacillariophyta	Bacillariophyceae
seq82236	Chromista	Myzozoa	Dinophyceae
seq82262	Chromista	Myzozoa	Dinophyceae
seq8227	Metazoa	Nematoda	Chromadorea
seq82277	Protozoa	Discosea	Flabellinia
seq82281	Metazoa	Nemertea	Palaeonemertea
seq8233	Chromista	Bacillariophyta	Fragilariophyceae
seq82346	Chromista	Myzozoa	Dinophyceae
seq8235	Metazoa	Nematoda	Chromadorea
seq82369	Metazoa	Nematoda	Chromadorea
seq82397	Metazoa	Platyhelminthes	Rhabditophora
seq824	Metazoa	Nematoda	Chromadorea
seq8242	Chromista	Cryptophyta	Cryptophyceae
seq82433	Chromista	Ciliophora	Nassophorea
seq82469	Metazoa	Nematoda	Chromadorea
seq82476	Metazoa	Nematoda	Enoplea
seq82477	Metazoa	Nematoda	Enoplea
seq8248	Protozoa	NA	Choanoflagellata
seq82483	Chromista	Ciliophora	Litostomatea
seq8250	Chromista	Bacillariophyta	Fragilariophyceae
seq82505	Chromista	Myzozoa	Dinophyceae
seq82507	Chromista	Ciliophora	Litostomatea
seq82530	Metazoa	Arthropoda	Hexanauplia
seq82531	Chromista	NA	Bigyra
seq8257	Chromista	Ciliophora	Oligohymenophorea
seq826	Metazoa	Nematoda	Enoplea
seq8260	Plantae	Chlorophyta	Mamiellophyceae
seq82602	Chromista	Myzozoa	Dinophyceae
seq8262	Chromista	Ciliophora	Oligohymenophorea
seq82639	Chromista	Myzozoa	Dinophyceae
seq8266	Fungi	Basidiomycota	Pucciniomycetes
seq8269	Chromista	Ciliophora	Prostomatea
seq827	Plantae	Streptophyta	Magnoliopsida
seq8274	Chromista	PX clade	Phaeophyceae
seq82751	Plantae	Chlorophyta	Pyramimonadophyceae
seq82752	Chromista	Ciliophora	Oligohymenophorea
seq8278	Chromista	Ciliophora	Spirotrichea
seq828	Metazoa	Nematoda	Enoplea
seq8280	Chromista	Cercozoa	Imbricatea
seq82818	Protozoa	Sulcozoa	Breviatea
seq8283	Chromista	Ciliophora	Prostomatea
seq82840	Chromista	Ciliophora	Armophorea
seq82849	Chromista	Ciliophora	Litostomatea
seq8289	Chromista	Ciliophora	Litostomatea
seq829	Chromista	Bacillariophyta	Fragilariophyceae
seq82902	Plantae	Rhodophyta	Florideophyceae
seq8291	Metazoa	Nematoda	Chromadorea
seq82974	Fungi	Chytridiomycota	Chytridiomycetes
seq83	Metazoa	Arthropoda	Ostracoda
seq83003	Metazoa	Annelida	Polychaeta
seq83008	Chromista	Ciliophora	Oligohymenophorea
seq8301	Fungi	Ascomycota	Leotiomycetes
seq83032	Chromista	NA	Bigyra
seq83034	Metazoa	Arthropoda	Malacostraca
seq83049	Chromista	Apicomplexa	Conoidasida
seq8308	Chromista	Ciliophora	Litostomatea
seq8309	Chromista	Ciliophora	Spirotrichea
seq83099	Metazoa	Platyhelminthes	Rhabditophora
seq831	Metazoa	Platyhelminthes	Rhabditophora
seq8310	Chromista	Cryptophyta	Cryptophyceae
seq8311	Chromista	Ciliophora	Oligohymenophorea
seq83119	Protozoa	Choanozoa	Ichthyosporea
seq8312	Fungi	Ascomycota	Leotiomycetes
seq83125	Chromista	Bacillariophyta	Coscinodiscophyceae
seq8314	Plantae	Chlorophyta	Ulvophyceae
seq8316	Chromista	Ciliophora	Spirotrichea
seq8323	Chromista	Ciliophora	Oligohymenophorea
seq83230	Metazoa	Platyhelminthes	Rhabditophora
seq83238	Chromista	Myzozoa	Dinophyceae
seq8325	Chromista	Myzozoa	Dinophyceae
seq83250	Chromista	Myzozoa	Dinophyceae
seq83283	Chromista	Myzozoa	Dinophyceae
seq83288	Chromista	NA	Hyphochytriomycetes
seq83289	Chromista	Myzozoa	Dinophyceae
seq83290	Chromista	Myzozoa	Dinophyceae
seq83295	Fungi	Ascomycota	Saccharomycetes
seq8330	Metazoa	Platyhelminthes	Rhabditophora
seq83301	Chromista	Cercozoa	Thecofilosea
seq83305	Chromista	Myzozoa	Dinophyceae
seq83332	Chromista	Cryptophyta	Cryptophyceae
seq83343	Chromista	Ciliophora	Oligohymenophorea
seq8337	Chromista	Ochrophyta	Dictyochophyceae
seq8338	Metazoa	Platyhelminthes	Rhabditophora
seq83392	Chromista	Heliozoa	Centroplasthelida
seq834	Metazoa	Platyhelminthes	Trematoda
seq83441	Chromista	PX clade	Xanthophyceae
seq83459	Chromista	NA	Bigyra
seq83470	Metazoa	Bryozoa	Gymnolaemata
seq835	Chromista	Ciliophora	Spirotrichea
seq8350	Chromista	Ciliophora	Spirotrichea
seq8351	Chromista	Heliozoa	Centroplasthelida
seq83521	Fungi	Basidiomycota	Agaricostilbomycetes
seq8354	Chromista	Ciliophora	Oligohymenophorea
seq83550	Chromista	Ciliophora	Spirotrichea
seq83552	Chromista	Ciliophora	Karyorelictea
seq8359	Chromista	Bacillariophyta	Bacillariophyceae
seq83610	Chromista	Heliozoa	Centroplasthelida
seq83614	Chromista	Ciliophora	Nassophorea
seq8366	Plantae	Rhodophyta	Bangiophyceae
seq8367	Metazoa	Nemertea	Enopla
seq837	Chromista	NA	Bigyra
seq83715	Fungi	Chytridiomycota	Chytridiomycetes
seq83722	Plantae	Rhodelphidia	Rhodelphea
seq83736	Plantae	Streptophyta	Charophyceae
seq83749	Chromista	Ciliophora	Armophorea
seq8376	Chromista	Endomyxa	Phytomyxea
seq83760	Chromista	Bacillariophyta	Bacillariophyceae
seq8377	Chromista	Cercozoa	Imbricatea
seq83797	Chromista	Apicomplexa	Marosporida
seq8384	Metazoa	Arthropoda	Collembola
seq83845	Chromista	Bacillariophyta	Bacillariophyceae
seq83868	Protozoa	NA	Choanoflagellata
seq83878	Chromista	Myzozoa	Dinophyceae
seq83881	Chromista	NA	Bigyra
seq8389	Chromista	Ciliophora	Spirotrichea
seq83893	Chromista	Apicomplexa	Conoidasida
seq83895	Metazoa	Porifera	Calcarea
seq83923	Chromista	Myzozoa	Dinophyceae
seq8395	Metazoa	Porifera	Demospongiae
seq8398	Metazoa	Nematoda	Enoplea
seq84	Chromista	Bacillariophyta	Coscinodiscophyceae
seq84009	Chromista	Myzozoa	Dinophyceae
seq84040	Chromista	Ciliophora	Spirotrichea
seq84072	Metazoa	Platyhelminthes	Trematoda
seq8408	Plantae	Streptophyta	Magnoliopsida
seq841	Metazoa	Annelida	Polychaeta
seq8410	Metazoa	Nematoda	Chromadorea
seq8411	Chromista	Myzozoa	Dinophyceae
seq84123	Chromista	Ciliophora	Litostomatea
seq84129	Chromista	Myzozoa	Dinophyceae
seq8416	Plantae	Chlorophyta	Mamiellophyceae
seq8417	Chromista	Heliozoa	Centroplasthelida
seq8419	Chromista	Bacillariophyta	Bacillariophyceae
seq84192	Chromista	Myzozoa	Dinophyceae
seq84193	Chromista	Myzozoa	Dinophyceae
seq84194	Chromista	Myzozoa	Dinophyceae
seq84195	Fungi	Chytridiomycota	Chytridiomycetes
seq8420	Chromista	Ciliophora	Spirotrichea
seq84209	Metazoa	Annelida	Clitellata
seq8424	Chromista	Bacillariophyta	Bacillariophyceae
seq84249	Protozoa	Tubulinea	Elardia
seq8427	Chromista	Ochrophyta	Pelagophyceae
seq8430	Metazoa	Arthropoda	Hexanauplia
seq84307	Metazoa	Nematoda	Chromadorea
seq8434	Chromista	Cercozoa	Thecofilosea
seq84351	Chromista	Ciliophora	Karyorelictea
seq8436	Chromista	Bacillariophyta	Bacillariophyceae
seq84370	Chromista	Ciliophora	Oligohymenophorea
seq84375	Chromista	Bacillariophyta	Fragilariophyceae
seq84414	Protozoa	Choanozoa	Ichthyosporea
seq84441	Chromista	Cercozoa	Imbricatea
seq84443	Chromista	Ochrophyta	Pinguiophyceae
seq84445	Chromista	Ciliophora	Litostomatea
seq84478	Chromista	Myzozoa	Dinophyceae
seq845	Metazoa	Nematoda	Enoplea
seq84507	Plantae	Chlorophyta	Chlorophyceae
seq84514	Plantae	Rhodophyta	Bangiophyceae
seq8452	Chromista	Myzozoa	Dinophyceae
seq84530	Chromista	Ciliophora	Spirotrichea
seq84558	Fungi	Chytridiomycota	Chytridiomycetes
seq8460	Chromista	NA	Bigyra
seq8463	Chromista	Ciliophora	Oligohymenophorea
seq8466	Chromista	Cercozoa	Imbricatea
seq8467	Chromista	Endomyxa	Phytomyxea
seq84673	Chromista	Ciliophora	Litostomatea
seq84719	Plantae	Rhodophyta	Florideophyceae
seq8473	Chromista	Ciliophora	Spirotrichea
seq84736	Metazoa	Porifera	Calcarea
seq8474	Chromista	Cercozoa	Thecofilosea
seq8476	Chromista	Bacillariophyta	Bacillariophyceae
seq8477	Chromista	Cercozoa	Imbricatea
seq84790	Metazoa	Arthropoda	Hexanauplia
