phylum	class
seq120186	Platyhelminthes	Rhabditophora
seq12023	NA	Dinophyceae
seq120304	Ciliophora	Spirotrichea
seq12031	NA	Phaeosacciophyceae
seq12036	NA	Centroplasthelida
seq12040	Bacillariophyta	Bacillariophyceae
seq12041	NA	Dinophyceae
seq12044	NA	Bigyra
seq12046	NA	Dinophyceae
seq12047	NA	Cryptophyceae
seq12049	NA	Pelagophyceae
seq12050	Nematoda	Enoplea
seq12057	NA	Dinophyceae
seq1206	Chytridiomycota	Chytridiomycetes
seq1207	Bacillariophyta	Bacillariophyceae
seq12070	NA	Centroplasthelida
seq12071	NA	Ichthyosporea
seq120715	Ciliophora	Karyorelictea
seq12072	Cercozoa	Imbricatea
seq12074	NA	Dinophyceae
seq12082	Nematoda	Chromadorea
seq12083	Cercozoa	Imbricatea
seq12085	Platyhelminthes	Trematoda
seq12086	Ascomycota	Saccharomycetes
seq120869	Ciliophora	Litostomatea
seq12089	Ciliophora	Spirotrichea
seq12093	Cercozoa	Imbricatea
seq121	Nematoda	Enoplea
seq1210	Ciliophora	Spirotrichea
seq12102	NA	Ichthyosporea
seq12103	NA	Cryptophyceae
seq121031	Platyhelminthes	Trematoda
seq12105	Endomyxa	Ascetosporea
seq12108	NA	Pelagophyceae
seq1211	NA	Dinophyceae
seq12110	NA	Dinophyceae
seq121109	Platyhelminthes	Cestoda
seq12117	NA	Choanoflagellata
seq1212	NA	Dinophyceae
seq12122	Platyhelminthes	Rhabditophora
seq12124	Ciliophora	Spirotrichea
seq12127	Ciliophora	Litostomatea
seq1213	NA	Ichthyosporea
seq12130	Ciliophora	Litostomatea
seq12136	NA	Hyphochytriomycetes
seq121379	Endomyxa	Phytomyxea
seq12138	Platyhelminthes	Rhabditophora
seq12139	Apicomplexa	Conoidasida
seq12158	Cercozoa	Imbricatea
seq1216	Ciliophora	Oligohymenophorea
seq12162	Ciliophora	Spirotrichea
seq12165	NA	Phaeosacciophyceae
seq1217	NA	Ichthyosporea
seq12171	Platyhelminthes	Trematoda
seq12173	Endomyxa	Ascetosporea
