phylum	class
seq6736	Annelida	Polychaeta
seq67365	NA	Breviatea
seq67375	Nematoda	Enoplea
seq67378	Endomyxa	Phytomyxea
seq67379	Ciliophora	Litostomatea
seq67422	Ciliophora	Oligohymenophorea
seq6743	Bacillariophyta	Coscinodiscophyceae
seq6748	Ciliophora	Oligohymenophorea
seq67494	NA	Dictyochophyceae
seq675	Mollusca	Bivalvia
seq67514	NA	Bigyra
seq6754	Ciliophora	Spirotrichea
seq6755	Ciliophora	Spirotrichea
seq6756	Ciliophora	Litostomatea
seq67562	NA	Dinophyceae
seq6757	Ciliophora	Litostomatea
seq67575	Endomyxa	Ascetosporea
seq67581	NA	Dinophyceae
seq67582	Basidiomycota	Exobasidiomycetes
seq67594	NA	Bigyra
seq67599	NA	Dictyochophyceae
seq6762	Nematoda	Chromadorea
seq67648	Bacillariophyta	Fragilariophyceae
seq6766	Platyhelminthes	Rhabditophora
seq67667	Ciliophora	Litostomatea
seq6769	Ciliophora	Spirotrichea
seq677	Nematoda	Chromadorea
seq67759	NA	Dinophyceae
seq67846	Bacillariophyta	Fragilariophyceae
seq67849	Rhodophyta	Bangiophyceae
seq67897	NA	Dinophyceae
seq679	Arthropoda	Thecostraca
seq67915	Rhodophyta	Florideophyceae
seq6792	NA	Dinophyceae
seq67925	Annelida	Polychaeta
seq6794	NA	Breviatea
seq67942	NA	Bigyra
seq6795	Bacillariophyta	Bacillariophyceae
seq6798	NA	Cryptophyceae
seq68047	NA	Synurophyceae
seq6805	Bacillariophyta	Bacillariophyceae
seq68073	Nematoda	Chromadorea
seq6809	NA	Centroplasthelida
seq681	NA	Synurophyceae
seq6810	NA	Bigyra
seq68102	Ciliophora	Spirotrichea
seq68155	Ciliophora	Nassophorea
seq6816	Nematoda	Chromadorea
seq6817	Platyhelminthes	Rhabditophora
seq68170	NA	Cryptophyceae
seq682	NA	Cryptophyceae
seq6821	Ciliophora	Spirotrichea
seq68220	Arthropoda	Ostracoda
seq6824	NA	Dinophyceae
seq6827	Ciliophora	Spirotrichea
seq6828	Ciliophora	Prostomatea
seq68335	NA	Dinophyceae
seq6834	Kinorhyncha	Allomalorhagida
seq68348	Basidiomycota	Tremellomycetes
seq68349	Chytridiomycota	Chytridiomycetes
seq68357	NA	Bigyra
seq68387	NA	Dinophyceae
seq68439	Mollusca	Gastropoda
seq6844	Ciliophora	Oligohymenophorea
seq68506	Ciliophora	Spirotrichea
seq6852	NA	Dinophyceae
seq6857	Ciliophora	Spirotrichea
seq68593	NA	Dinophyceae
seq686	Ciliophora	Spirotrichea
seq68619	Bacillariophyta	Fragilariophyceae
seq68707	Bacillariophyta	Fragilariophyceae
seq68709	NA	Xanthophyceae
seq68719	NA	Cryptophyceae
seq68725	NA	Dictyochophyceae
seq68736	NA	Bigyra
seq68762	Bacillariophyta	Coscinodiscophyceae
seq6877	Ciliophora	Spirotrichea
seq68774	Ciliophora	Litostomatea
seq68775	Arthropoda	Malacostraca
seq6878	Cercozoa	Thecofilosea
seq68780	NA	Dinophyceae
seq6879	Ciliophora	Karyorelictea
seq6882	Ciliophora	Spirotrichea
seq68828	Bacillariophyta	Coscinodiscophyceae
seq6884	Nematoda	Enoplea
seq68880	Ciliophora	Litostomatea
seq68885	NA	Dinophyceae
seq6889	NA	Dinophyceae
seq68898	Ciliophora	Spirotrichea
seq68899	Bacillariophyta	Bacillariophyceae
seq689	Platyhelminthes	Rhabditophora
seq68908	Cercozoa	Thecofilosea
seq6891	NA	Bigyra
seq6892	Platyhelminthes	Trematoda
seq6894	Platyhelminthes	Rhabditophora
seq6895	NA	Cryptophyceae
seq68976	Arthropoda	Ostracoda
seq69	Nematoda	Enoplea
seq6900	Nematoda	Chromadorea
seq6901	Nematoda	Chromadorea
seq6902	Platyhelminthes	Rhabditophora
seq6903	Ciliophora	Spirotrichea
seq69059	Bacillariophyta	Bacillariophyceae
seq69077	NA	Developea
seq69090	Streptophyta	Charophyceae
seq691	Arthropoda	Malacostraca
seq6914	NA	Dinophyceae
seq6919	Arthropoda	Hexanauplia
seq6920	Nematoda	Chromadorea
seq69208	Basidiomycota	Agaricomycetes
seq6925	Ciliophora	Oligohymenophorea
seq6926	NA	Chrysophyceae
seq69262	Ciliophora	Colpodea
seq69268	Ciliophora	Oligohymenophorea
seq6927	Platyhelminthes	Trematoda
seq69276	Ascomycota	Dothideomycetes
seq693	Arthropoda	Malacostraca
seq6930	Ciliophora	Spirotrichea
seq6931	NA	Cryptophyceae
seq6933	Endomyxa	Ascetosporea
seq69332	NA	Dinophyceae
seq69336	Mollusca	Gastropoda
seq69349	Ciliophora	Spirotrichea
seq69359	NA	Dinophyceae
seq6936	Nematoda	Enoplea
seq69373	NA	Dinophyceae
seq6940	Chytridiomycota	Chytridiomycetes
seq6941	Bacillariophyta	Bacillariophyceae
seq6942	NA	Centroplasthelida
seq69459	Ciliophora	Spirotrichea
seq6947	Ciliophora	Spirotrichea
seq69492	NA	Dinophyceae
seq69496	Nematoda	Chromadorea
seq6951	Ciliophora	Spirotrichea
seq6953	NA	Bigyra
seq69540	NA	Dinophyceae
seq69550	Ciliophora	Colpodea
seq69588	Ciliophora	Oligohymenophorea
seq6959	Ascomycota	Leotiomycetes
seq696	Bacillariophyta	Coscinodiscophyceae
seq69625	Nematoda	Chromadorea
seq6963	Ciliophora	Karyorelictea
seq69632	Arthropoda	Hexanauplia
seq6964	NA	Eustigmatophyceae
seq6966	Ciliophora	Karyorelictea
seq6967	Chytridiomycota	Chytridiomycetes
seq69688	Mollusca	Gastropoda
seq69698	NA	Bigyra
seq697	Platyhelminthes	Rhabditophora
seq6970	Bacillariophyta	Bacillariophyceae
seq69723	Apicomplexa	Conoidasida
seq69778	Cercozoa	Imbricatea
seq6979	Nematoda	Chromadorea
seq69832	NA	Dinophyceae
seq69835	Ciliophora	Litostomatea
seq69854	Nematoda	Chromadorea
seq69856	Ciliophora	Litostomatea
seq699	Bacillariophyta	Coscinodiscophyceae
seq6991	NA	Eustigmatophyceae
seq69945	Cercozoa	Imbricatea
seq69956	NA	Dinophyceae
seq6996	NA	Choanoflagellata
seq6998	Endomyxa	Ascetosporea
seq69980	Chytridiomycota	Chytridiomycetes
seq7	Arthropoda	Hexanauplia
seq70	Chordata	Mammalia
seq70019	Chytridiomycota	Chytridiomycetes
seq7003	Annelida	Polychaeta
seq70050	Bacillariophyta	Bacillariophyceae
seq70059	Bacillariophyta	Bacillariophyceae
seq7006	Cercozoa	Thecofilosea
seq70069	NA	Dinophyceae
seq7007	Ciliophora	Spirotrichea
seq70100	Mollusca	Bivalvia
seq70120	Cercozoa	Thecofilosea
seq70131	Basidiomycota	Agaricomycetes
seq70136	Ciliophora	Spirotrichea
seq70138	Chlorophyta	Trebouxiophyceae
seq70162	NA	Bigyra
seq70166	NA	Centroplasthelida
seq7017	Ascomycota	Leotiomycetes
seq70171	Nemertea	Palaeonemertea
seq70175	Ciliophora	Oligohymenophorea
seq7020	Platyhelminthes	Rhabditophora
seq70237	Chytridiomycota	Chytridiomycetes
seq70245	NA	Bigyra
seq70264	Chytridiomycota	Chytridiomycetes
seq70268	Ciliophora	Spirotrichea
seq70272	NA	Bigyra
seq7029	Arthropoda	Arachnida
seq703	Platyhelminthes	Rhabditophora
seq7031	Kinorhyncha	Allomalorhagida
seq7033	Bacillariophyta	Coscinodiscophyceae
seq70353	Cercozoa	Imbricatea
seq70359	NA	Synchromophyceae
seq70360	NA	Centroplasthelida
seq7039	Ciliophora	Litostomatea
seq70399	Ciliophora	Oligohymenophorea
seq70400	NA	Acantharea
seq70413	NA	Cryptophyceae
seq70418	Ascomycota	Saccharomycetes
seq70419	Bacillariophyta	Bacillariophyceae
seq70468	Nematoda	Enoplea
seq7048	Ciliophora	Oligohymenophorea
seq705	NA	Cryptophyceae
seq70506	Cnidaria	Hydrozoa
seq7053	NA	Centroplasthelida
seq70537	NA	Bigyra
seq7054	Ciliophora	Litostomatea
seq7055	Cercozoa	Thecofilosea
seq70560	Mollusca	Gastropoda
seq70590	NA	Bigyra
seq706	Nematoda	Chromadorea
seq70602	Ciliophora	Spirotrichea
seq7062	Bacillariophyta	Bacillariophyceae
seq7066	Bacillariophyta	Bacillariophyceae
seq70662	Rhodophyta	Florideophyceae
seq7067	NA	Choanoflagellata
seq7069	Platyhelminthes	Rhabditophora
seq70690	NA	Dinophyceae
seq707	Platyhelminthes	Rhabditophora
seq7074	Ciliophora	Oligohymenophorea
seq70755	Nematoda	Enoplea
seq708	Platyhelminthes	Rhabditophora
seq70830	Ciliophora	Litostomatea
seq70835	NA	Dinophyceae
seq7087	NA	Pelagophyceae
seq70876	Rhodophyta	Bangiophyceae
seq70964	Ciliophora	Litostomatea
seq71019	Basidiomycota	Agaricostilbomycetes
seq7103	Ciliophora	Oligohymenophorea
seq71036	NA	Dinophyceae
seq71040	Ciliophora	Oligohymenophorea
seq71041	NA	Aphelidea
seq71065	NA	Bigyra
seq7107	Platyhelminthes	Rhabditophora
seq71071	Bacillariophyta	Bacillariophyceae
seq71072	Arthropoda	Hexanauplia
seq7108	NA	Dinophyceae
seq71086	Ciliophora	Litostomatea
seq7109	NA	Bigyra
seq71090	NA	Dinophyceae
seq71096	Rhodophyta	Bangiophyceae
seq711	Platyhelminthes	Rhabditophora
seq7110	Arthropoda	Hexanauplia
seq71102	Cercozoa	Imbricatea
seq7114	NA	Bigyra
seq71142	Ascomycota	Leotiomycetes
seq7116	Ciliophora	Spirotrichea
seq71234	NA	Bigyra
seq7125	NA	Bigyra
seq71251	Ciliophora	Litostomatea
seq71254	NA	Bigyra
seq7126	Ciliophora	Spirotrichea
seq7127	NA	Choanoflagellata
seq7128	Bacillariophyta	Bacillariophyceae
seq7132	Nematoda	Chromadorea
seq71351	Nematoda	Chromadorea
seq71361	NA	Dinophyceae
seq7137	NA	Choanoflagellata
seq71372	Ciliophora	Litostomatea
seq7138	Ciliophora	Oligohymenophorea
seq71399	NA	Dinophyceae
seq714	Annelida	Clitellata
seq7141	Porifera	Demospongiae
seq71428	NA	Dinophyceae
seq7143	Bryozoa	Gymnolaemata
seq71503	Arthropoda	Pycnogonida
seq7153	Ciliophora	Litostomatea
seq7156	Bacillariophyta	Bacillariophyceae
seq71578	NA	Choanoflagellata
seq7158	Apicomplexa	Conoidasida
seq71607	NA	Bigyra
seq71613	NA	Dinophyceae
seq71619	Basidiomycota	Tremellomycetes
seq71641	NA	Chrysophyceae
seq71657	NA	Dinophyceae
seq7167	NA	Cryptophyceae
seq71675	Rhodophyta	Florideophyceae
seq71733	NA	Dinophyceae
seq71743	Bacillariophyta	Bacillariophyceae
seq7176	Ciliophora	Armophorea
seq7177	Ciliophora	Litostomatea
seq7184	Platyhelminthes	Trematoda
seq7185	Ciliophora	Oligohymenophorea
seq7186	NA	Bigyra
seq7187	NA	Cryptophyceae
seq7188	Ciliophora	Litostomatea
seq71890	NA	Dinophyceae
seq71905	Ciliophora	Litostomatea
seq71907	Ciliophora	Litostomatea
seq7193	Ciliophora	Litostomatea
seq71952	Ciliophora	Karyorelictea
seq7196	NA	Choanoflagellata
seq7199	Ciliophora	Spirotrichea
seq72001	NA	Dinophyceae
seq72015	NA	Dinophyceae
seq72030	NA	Dictyochophyceae
seq72033	Bacillariophyta	Fragilariophyceae
seq72060	Ciliophora	Oligohymenophorea
seq72077	Rhodophyta	Bangiophyceae
seq721	Annelida	Clitellata
seq7211	Ciliophora	Spirotrichea
seq72125	NA	Acantharea
seq72137	NA	Choanoflagellata
seq7214	Ciliophora	Spirotrichea
seq72154	Rhodophyta	Florideophyceae
seq72164	Bacillariophyta	Bacillariophyceae
seq72168	Chytridiomycota	Chytridiomycetes
seq72209	Streptophyta	Magnoliopsida
seq72220	Ciliophora	Spirotrichea
seq72221	Basidiomycota	Exobasidiomycetes
seq7225	Bacillariophyta	Bacillariophyceae
seq7228	Bacillariophyta	Bacillariophyceae
seq7232	Ciliophora	Oligohymenophorea
seq72320	Ciliophora	Litostomatea
seq7236	Rhodophyta	Florideophyceae
seq72362	Platyhelminthes	Rhabditophora
seq72420	Arthropoda	Ostracoda
seq7244	Ciliophora	Litostomatea
seq72463	NA	Dinophyceae
seq72465	NA	Dinophyceae
seq72479	Ciliophora	Litostomatea
seq72582	NA	Dictyochophyceae
seq72596	Bacillariophyta	Bacillariophyceae
seq726	Ciliophora	Spirotrichea
seq72618	Bacillariophyta	Bacillariophyceae
seq72647	NA	Dinophyceae
seq7266	Cercozoa	Thecofilosea
seq72664	Annelida	Polychaeta
seq7267	Arthropoda	Hexanauplia
seq727	Ciliophora	Spirotrichea
seq7273	NA	Dinophyceae
seq7275	NA	Dinophyceae
seq72760	Arthropoda	Hexanauplia
seq72776	NA	Dinophyceae
seq728	Arthropoda	Thecostraca
seq7281	Ciliophora	Oligohymenophorea
seq72840	NA	Dinophyceae
seq72846	Annelida	Polychaeta
seq7285	Bacillariophyta	Bacillariophyceae
seq7289	Ciliophora	Oligohymenophorea
seq7292	Rotifera	Eurotatoria
seq72937	Bacillariophyta	Bacillariophyceae
seq7296	Ciliophora	Karyorelictea
seq72972	Ciliophora	Oligohymenophorea
seq72974	Ciliophora	Litostomatea
seq7298	NA	Dinophyceae
seq73	Arthropoda	Hexanauplia
seq730	Platyhelminthes	Rhabditophora
seq7302	Chytridiomycota	Chytridiomycetes
seq73027	NA	Centroplasthelida
seq7303	Ciliophora	Karyorelictea
seq73034	Bacillariophyta	Bacillariophyceae
seq731	NA	Dinophyceae
seq7312	Basidiomycota	Exobasidiomycetes
seq73139	Bacillariophyta	Fragilariophyceae
seq73171	Ciliophora	Litostomatea
seq7318	Ciliophora	Litostomatea
seq732	Annelida	Polychaeta
seq73232	Arthropoda	Malacostraca
seq7324	Bacillariophyta	Bacillariophyceae
seq73242	Ciliophora	Spirotrichea
seq73244	Arthropoda	Ostracoda
seq73252	Mollusca	Gastropoda
seq7326	Annelida	Polychaeta
seq73300	Streptophyta	Magnoliopsida
seq7336	Ciliophora	Oligohymenophorea
seq73388	Ciliophora	Odontostomatea
seq7341	Ciliophora	Spirotrichea
seq7342	NA	Cryptophyceae
seq73423	Ciliophora	Armophorea
seq73432	Rhodophyta	Rhodellophyceae
seq7345	Bacillariophyta	Bacillariophyceae
seq73456	NA	Dictyochophyceae
seq73457	Nematoda	Chromadorea
seq7346	Bacillariophyta	Bacillariophyceae
seq7348	Ciliophora	Oligohymenophorea
seq7353	NA	Dinophyceae
seq73532	Cercozoa	Imbricatea
seq73580	Ciliophora	Oligohymenophorea
seq73586	NA	Phaeophyceae
seq73593	Ascomycota	Saccharomycetes
seq73596	Ciliophora	Litostomatea
seq7362	Ciliophora	Plagiopylea
seq73626	NA	Developea
seq73645	Ciliophora	Litostomatea
seq7366	NA	Bigyra
seq7368	Rhodophyta	Florideophyceae
seq737	Ciliophora	Spirotrichea
seq7370	Rhodophyta	Florideophyceae
seq7371	Annelida	Polychaeta
seq7375	NA	Centroplasthelida
seq73773	Mollusca	Bivalvia
seq73774	Endomyxa	Phytomyxea
seq73799	Streptophyta	Magnoliopsida
seq73823	NA	Dinophyceae
seq7385	Ciliophora	Plagiopylea
seq73856	Ciliophora	Spirotrichea
seq7389	Ciliophora	Litostomatea
seq73893	Ciliophora	Karyorelictea
seq7391	NA	Dinophyceae
seq73926	NA	Dinophyceae
seq73952	Cercozoa	Imbricatea
seq7396	Bacillariophyta	Bacillariophyceae
seq7399	Ciliophora	Oligohymenophorea
seq74	Nematoda	Enoplea
seq740	Platyhelminthes	Rhabditophora
seq74032	NA	Dinophyceae
seq7406	NA	Dinophyceae
seq74087	NA	Pinguiophyceae
seq7412	Chytridiomycota	Chytridiomycetes
seq7413	Arthropoda	Ostracoda
seq7414	NA	Choanoflagellata
seq7415	Arthropoda	Hexanauplia
seq7419	NA	Dinophyceae
seq7427	Ciliophora	Oligohymenophorea
seq74274	NA	Cryptophyceae
seq7430	NA	Pelagophyceae
seq74317	NA	Bigyra
seq74328	Ciliophora	Spirotrichea
seq74348	Mollusca	Bivalvia
seq7435	Bacillariophyta	Bacillariophyceae
seq74356	NA	Phaeophyceae
seq74360	Ciliophora	Litostomatea
seq74365	NA	Bigyra
seq74367	NA	Dinophyceae
seq74389	NA	Dinophyceae
seq74397	NA	Aphelidea
seq74404	NA	Dinophyceae
seq74416	NA	Dinophyceae
seq7443	Ciliophora	Spirotrichea
seq7445	Ciliophora	Oligohymenophorea
seq7446	Ciliophora	Litostomatea
seq74462	NA	Centroplasthelida
seq7447	Chlorophyta	Trebouxiophyceae
seq74471	Arthropoda	Hexanauplia
seq745	Nematoda	Enoplea
seq74505	Nematoda	Enoplea
seq74585	Ciliophora	Nassophorea
seq74592	Ciliophora	Litostomatea
seq74601	Rhodophyta	Rhodellophyceae
seq74637	Ciliophora	Karyorelictea
seq74655	Ciliophora	Karyorelictea
seq74669	Bacillariophyta	Bacillariophyceae
seq7467	Apicomplexa	Conoidasida
seq74675	Chordata	Actinopteri
seq7468	Ciliophora	Spirotrichea
seq7472	Ciliophora	Heterotrichea
seq7473	NA	Cryptophyceae
seq7476	NA	Dinophyceae
seq74825	Nematoda	Chromadorea
seq7487	Platyhelminthes	Trematoda
seq74878	Ascomycota	Saccharomycetes
seq7488	Annelida	Polychaeta
seq74908	NA	Bigyra
seq74937	Bacillariophyta	Coscinodiscophyceae
seq74964	NA	Bigyra
seq74987	Arthropoda	Hexanauplia
seq75	Chordata	Mammalia
seq750	Nematoda	Enoplea
seq7500	Ciliophora	Spirotrichea
seq7501	Annelida	Polychaeta
seq75062	NA	Dinophyceae
seq7510	Basidiomycota	Exobasidiomycetes
seq75104	Ciliophora	Prostomatea
seq75136	Cercozoa	Imbricatea
seq75143	Ciliophora	Oligohymenophorea
seq7515	Rotifera	Eurotatoria
seq7516	NA	Dinophyceae
seq7520	Cercozoa	Thecofilosea
seq75246	Ciliophora	Spirotrichea
seq7526	NA	Dinophyceae
seq75262	NA	Dinophyceae
seq75288	Bacillariophyta	Coscinodiscophyceae
seq753	Platyhelminthes	Rhabditophora
seq7534	NA	Ichthyosporea
seq75344	NA	Dinophyceae
seq75355	Ciliophora	Prostomatea
seq7536	NA	Dinophyceae
seq7539	Rhodophyta	Bangiophyceae
seq7543	Annelida	Polychaeta
seq7545	Arthropoda	Ostracoda
seq75466	NA	Bigyra
seq7547	Nematoda	Chromadorea
seq75501	Rotifera	Eurotatoria
seq75504	Mollusca	Bivalvia
seq75511	Ciliophora	Litostomatea
seq75540	NA	Breviatea
seq75547	Bacillariophyta	Mediophyceae
seq75569	Endomyxa	Phytomyxea
seq7562	Ciliophora	Spirotrichea
seq7564	Ciliophora	Spirotrichea
seq75641	Mollusca	Gastropoda
seq75685	Cercozoa	Thecofilosea
seq75686	Ciliophora	Oligohymenophorea
seq75782	Chytridiomycota	Chytridiomycetes
seq7579	Rhodophyta	Bangiophyceae
seq75857	NA	Dinophyceae
seq7586	NA	Cryptophyceae
seq7588	Ciliophora	Oligohymenophorea
seq75901	Streptophyta	Magnoliopsida
seq75944	NA	Dinophyceae
seq75969	NA	Cryptophyceae
seq75999	Evosea	Variosea
seq76	NA	Cryptophyceae
seq7600	Ciliophora	Oligohymenophorea
seq76004	Bacillariophyta	Fragilariophyceae
seq76064	Mollusca	Bivalvia
seq7607	Bacillariophyta	Bacillariophyceae
seq76142	NA	Dictyochophyceae
seq76151	Ciliophora	Spirotrichea
seq7620	Bacillariophyta	Coscinodiscophyceae
seq76232	Ascomycota	Lichinomycetes
seq7626	Ciliophora	Litostomatea
seq763	Bacillariophyta	Coscinodiscophyceae
seq7631	Chlorophyta	Pyramimonadophyceae
seq76340	NA	Dinophyceae
seq76342	NA	Dinophyceae
seq764	Annelida	Polychaeta
seq76492	Ciliophora	Spirotrichea
seq765	Ascomycota	Saccharomycetes
seq7650	Ciliophora	Odontostomatea
seq76509	Ciliophora	Spirotrichea
seq76535	Streptophyta	Magnoliopsida
seq7654	Ciliophora	Litostomatea
seq7657	NA	Dinophyceae
seq7658	Ciliophora	Spirotrichea
seq766	Bacillariophyta	Bacillariophyceae
seq76656	Ciliophora	Litostomatea
seq76666	NA	Dinophyceae
seq767	Bacillariophyta	Bacillariophyceae
seq76710	NA	Dinophyceae
seq76711	Bacillariophyta	Bacillariophyceae
seq7673	NA	Cryptophyceae
seq76761	Cercozoa	Imbricatea
seq7678	Ciliophora	Spirotrichea
seq76795	Apicomplexa	Conoidasida
seq768	Bacillariophyta	Bacillariophyceae
seq76816	NA	Dinophyceae
seq76818	NA	Choanoflagellata
seq76823	Nemertea	Palaeonemertea
seq76827	NA	Bigyra
seq7684	Ciliophora	Spirotrichea
seq7685	Ciliophora	Litostomatea
seq7686	Bacillariophyta	Bacillariophyceae
seq76875	Mollusca	Gastropoda
seq76878	Streptophyta	Magnoliopsida
seq7688	Rhodophyta	Bangiophyceae
seq76886	Annelida	Polychaeta
seq76948	Basidiomycota	Agaricomycetes
seq7698	Porifera	Demospongiae
seq77	Nematoda	Chromadorea
seq770	Bacillariophyta	Bacillariophyceae
seq7701	Ciliophora	Litostomatea
seq7702	NA	Dinophyceae
seq7704	Ciliophora	Karyorelictea
seq7707	Ciliophora	Karyorelictea
seq77103	NA	Bigyra
seq77140	NA	Dinophyceae
seq772	Ascomycota	Saccharomycetes
seq7720	Cercozoa	Thecofilosea
seq77233	Chytridiomycota	Chytridiomycetes
seq7728	Mollusca	Bivalvia
seq77284	Ciliophora	Oligohymenophorea
seq77311	NA	Dinophyceae
seq77313	Ciliophora	Spirotrichea
seq7738	NA	Cryptophyceae
seq7741	Annelida	Polychaeta
seq7743	Bacillariophyta	Bacillariophyceae
seq77446	Bacillariophyta	Bacillariophyceae
seq77452	Ascomycota	Saccharomycetes
seq77472	Ciliophora	Oligohymenophorea
seq77487	Arthropoda	Hexanauplia
seq77514	NA	Dinophyceae
seq77523	Nemertea	Palaeonemertea
seq7753	NA	Ichthyosporea
seq77545	Ciliophora	Oligohymenophorea
seq77564	NA	Bigyra
seq77567	NA	Dinophyceae
seq77570	NA	Dinophyceae
seq7758	NA	Dinophyceae
seq77596	Bacillariophyta	Coscinodiscophyceae
seq77614	NA	Dinophyceae
seq7763	Cercozoa	Imbricatea
seq7765	Annelida	Polychaeta
seq77657	NA	Dinophyceae
seq77666	Nematoda	Enoplea
seq7767	Nematoda	Enoplea
seq77683	Platyhelminthes	Rhabditophora
seq7769	Nematoda	Chromadorea
seq777	Bacillariophyta	Bacillariophyceae
seq7770	Porifera	Demospongiae
seq77733	NA	Dinophyceae
seq7774	Ciliophora	Karyorelictea
seq77786	NA	Bigyra
seq778	Platyhelminthes	Rhabditophora
seq7781	Basidiomycota	Agaricomycetes
seq7782	NA	Phaeophyceae
seq77823	Platyhelminthes	Rhabditophora
seq7784	Nematoda	Chromadorea
seq7791	Ciliophora	Spirotrichea
seq7792	NA	Dinophyceae
seq77968	Ciliophora	Nassophorea
seq7799	Bacillariophyta	Mediophyceae
seq77991	Ciliophora	Nassophorea
seq78	Arthropoda	Hexanauplia
seq780	NA	Dictyochophyceae
seq7801	NA	Cryptophyceae
seq7805	Rhodophyta	Bangiophyceae
seq7810	Nematoda	Chromadorea
seq7818	Rhodophyta	Florideophyceae
seq78182	Ascomycota	Saccharomycetes
seq78205	Platyhelminthes	Trematoda
seq78206	Mollusca	Gastropoda
seq78209	Ciliophora	Spirotrichea
seq78216	NA	Synurophyceae
seq78220	NA	Dinophyceae
seq78224	Cercozoa	Imbricatea
seq78243	NA	Bigyra
seq78247	NA	Dinophyceae
seq7826	Ciliophora	Odontostomatea
seq78261	NA	Dinophyceae
seq78266	Basidiomycota	Agaricomycetes
seq7827	Nematoda	Chromadorea
seq78310	NA	Ichthyosporea
seq78331	NA	Centroplasthelida
seq78341	NA	Dinophyceae
seq784	Chordata	Actinopteri
seq7842	Chlorophyta	Pyramimonadophyceae
seq7844	NA	Bigyra
seq78443	NA	Dinophyceae
seq78471	NA	Ichthyosporea
seq7853	Cercozoa	Imbricatea
seq78530	Mollusca	Bivalvia
seq7855	Bacillariophyta	Bacillariophyceae
seq7863	Ciliophora	Oligohymenophorea
seq78633	Ciliophora	Nassophorea
seq78650	NA	Bigyra
seq7866	Ciliophora	Litostomatea
seq78667	Ciliophora	Karyorelictea
seq7871	Bacillariophyta	Bacillariophyceae
seq78719	NA	Acantharea
seq7873	Nematoda	Chromadorea
seq7876	Ciliophora	Karyorelictea
seq78760	Arthropoda	Arachnida
seq78780	Ciliophora	Litostomatea
seq78791	Annelida	Clitellata
seq78805	NA	Ichthyosporea
seq7881	NA	Cryptophyceae
seq78846	Ciliophora	Spirotrichea
seq7893	Apicomplexa	Conoidasida
seq7894	Cercozoa	Imbricatea
seq78941	Apicomplexa	Conoidasida
seq7898	Cercozoa	Imbricatea
seq79	Bacillariophyta	Coscinodiscophyceae
seq7901	Ciliophora	Armophorea
seq7906	Ciliophora	Karyorelictea
seq79078	Basidiomycota	Exobasidiomycetes
seq7909	NA	Dinophyceae
seq79090	NA	Dinophyceae
seq791	Bacillariophyta	Bacillariophyceae
seq7913	NA	Cryptophyceae
seq7917	Nematoda	Enoplea
seq79176	NA	Dinophyceae
seq7918	Ciliophora	Oligohymenophorea
seq7919	NA	Dinophyceae
seq7920	Chlorophyta	Trebouxiophyceae
seq7924	NA	Dinophyceae
seq79241	Ciliophora	Spirotrichea
seq793	Platyhelminthes	Rhabditophora
seq7930	Basidiomycota	Agaricomycetes
seq7937	NA	Dinophyceae
seq7939	Annelida	Polychaeta
seq7940	Ciliophora	Litostomatea
seq79477	Chlorophyta	Ulvophyceae
seq7952	NA	Bigyra
seq7959	Cercozoa	Thecofilosea
seq79597	Platyhelminthes	Trematoda
seq7961	Ciliophora	Oligohymenophorea
seq79645	Mollusca	Bivalvia
seq79660	NA	Bigyra
seq79687	Cercozoa	Imbricatea
seq79700	Mollusca	Bivalvia
seq7971	NA	Cryptophyceae
seq79711	Bacillariophyta	Bacillariophyceae
seq79713	NA	Centroplasthelida
seq79715	NA	Bigyra
seq7973	Cercozoa	Imbricatea
seq7974	Bacillariophyta	Bacillariophyceae
seq79740	Ciliophora	Spirotrichea
seq79801	Bacillariophyta	Bacillariophyceae
seq79830	Apicomplexa	Conoidasida
seq7986	Ciliophora	Oligohymenophorea
seq79871	NA	Dinophyceae
seq79889	Annelida	Polychaeta
seq799	Chordata	Actinopteri
seq7993	NA	Dinophyceae
seq7996	NA	Dinophyceae
seq8	Arthropoda	Hexanauplia
seq80	Nematoda	Chromadorea
seq8000	Nematoda	Chromadorea
seq80005	Ciliophora	Colpodea
seq8008	Bacillariophyta	Mediophyceae
seq801	Ciliophora	Spirotrichea
seq80100	Chordata	Ascidiacea
seq80153	Bacillariophyta	Fragilariophyceae
seq802	Platyhelminthes	Rhabditophora
seq8020	NA	Bigyra
seq80205	Ciliophora	Oligohymenophorea
seq8021	Endomyxa	Phytomyxea
seq80269	Ciliophora	Oligohymenophorea
seq80289	NA	Dinophyceae
seq8029	Bacillariophyta	Bacillariophyceae
seq80291	Nematoda	Chromadorea
seq803	Ciliophora	Spirotrichea
seq80313	NA	Dinophyceae
seq8034	Bacillariophyta	Bacillariophyceae
seq8035	Ciliophora	Oligohymenophorea
seq8036	Ciliophora	Spirotrichea
seq8039	NA	Bigyra
seq804	NA	Dictyochophyceae
seq80417	Endomyxa	Phytomyxea
seq8042	NA	Dinophyceae
seq8043	Ciliophora	Spirotrichea
seq80479	Arthropoda	Ostracoda
seq80488	NA	Bigyra
seq80509	Bacillariophyta	Mediophyceae
seq80510	Mollusca	Bivalvia
seq80516	Mollusca	Bivalvia
seq80533	Ciliophora	Spirotrichea
seq80535	Annelida	Polychaeta
seq80548	NA	Dinophyceae
seq80583	NA	Dinophyceae
seq80590	Annelida	Polychaeta
