Sample_ID	Grain_size	Density_wet	Dry_matter_per_WW	Watercontent	Organic_content	Inorganic_content	TP
2C25SB3	2	1.80057	0.798797048	0.36228	0.002857094	0.001256433	0.51450866
2C25RB1	2	1.784590909	0.773520797	0.404172727	0.018885953	0.007319816	0.578404128
2C25RB2	2	1.732425	0.749811199	0.433433333	0.024347907	0.016190193	0.561966494
2C25RB3	2	1.748163636	0.763778094	0.412954545	0.02230092	0.009890608	0.456858494
2C25EB1	1	1.747890909	0.73047517	0.4711	0.033476574	0.014154841	0.645899126
2C25EB2	1	1.7668	0.75716241	0.429045455	0.020035294	0.004156144	0.534511666
2C25EB3	1	1.634372727	0.673636257	0.5334	0.032130105	0.004288365	0.836259916
2C26EB1	2	1.872966667	0.793576145	0.386625	0.004953134	0.002770331	0.302379594
2C26EB2	2	1.896058333	0.82080808	0.339758333	0.003316486	0.002055586	0.448684731
2C26EB3	2	1.918090909	0.819882459	0.345481818	0.003542627	0.002049338	0.240811666
