Sample_ID	Grain_size	Density_wet	Dry_matter_per_WW	Watercontent	Organic_content	Inorganic_content	TP
C11SB3	2	1.64613913	0.828431217	0.282426087	0.004119555	0.001840652	0.278002512
C11RB1	2	1.726296774	0.741561276	0.446141935	0.019974559	0.067487194	0.363878531
C11RB2	2	1.763046667	0.734765954	0.46762	0.013586668	0.02016771	0.359965148
C11RB3	2	1.807	0.767648035	0.41986	0.016755707	0.010441962	0.344289506
C12SB1	1	1.701273333	0.712591745	0.48896	0.014522251	0.002530392	0.75150589
C12SB2	1	1.707633333	0.7121318	0.491573333	0.013044519	0.002792405	0.644433418
C12SB3	1	1.690873333	0.699942042	0.50736	0.014932223	0.003530076	0.337934688
C12RB1	1	1.874246667	0.785798383	0.401466667	0.012584395	0.003555591	0.312908182
C12RB2	1	1.855033333	0.788018185	0.393233333	0.01280241	0.011359001	0.3645018
C12RB3	1	1.89316	0.801397311	0.375986667	0.005792778	0.002219987	0.425919771
C13SB1	2	1.87772	0.784231231	0.405153333	0.010606851	0.011719701	0.465056603
C13SB2	2	1.868773333	0.785905906	0.400093333	0.011761707	0.007464861	0.200652915
C13SB3	2	1.849566667	0.786760863	0.3944	0.010745868	0.012238349	0.449680017
C13RB1	2	1.798226667	0.828156628	0.309013333	0.00786779	0.015616969	0.24978436
C13RB2	2	1.84938	0.80549157	0.35972	0.009923696	0.019847392	0.208301033
C13RB3	2	1.950766667	0.837216137	0.317553333	0.014012533	0.028051962	0.318407968
C14SB1	2	1.87076	0.799714198	0.374686667	0.007888061	0.007452037	0.787870985
C14SB2	2	1.86778	0.795511249	0.38194	0.007794031	0.008200355	0.762712052
C14SB3	2	1.845693333	0.788690068	0.390013333	0.008291457	0.009260589	0.766955084
C14RB1	3	1.901213333	0.813803115	0.354	0.007322444	0.00937068	0.460655542
C14RB2	3	1.9096	0.807788717	0.367046667	0.007479846	0.012660332	0.279973156
C14RB3	3	1.929246667	0.827182976	0.333406667	0.008336247	0.010944685	0.271814496
C15SB1	2	1.88418875	0.805058012	0.3673075	0.007115206	0.002426258	0.318395341
C15SB2	2	1.91933	0.811644341	0.361516667	0.007167772	0.002108168	0.243868856
C15SB3	2	1.876978667	0.808576052	0.359298667	0.006367464	0.002019787	0.288893912
C15RB1	2	1.936835714	0.822958655	0.3429	0.013108902	0.011077946	0.595736396
C15RB2	3	1.80356	0.882122025	0.2126	0.009550205	0.005442949	0.655556682
C15RB3	3	1.869526667	0.84963752	0.281106667	0.014309788	0.007072019	0.346036362
C16SB1	2	1.85946	0.787945604	0.394306667	0.006371963	0.002429311	0.317913561
C16SB2	2	1.823633333	0.791080992	0.380991667	0.006639907	0.002325843	0.37032622
C16SB3	2	1.940666667	0.773620749	0.439326667	0.006958804	0.002624463	0.463610606
C16RB1	1	1.824133333	0.802399313	0.36045	0.007737287	0.002421594	0.468821255
C16RB2	1	2.149109091	0.772078916	0.489827273	0.010220098	0.002860232	0.642647178
C16RB3	1	2.171192308	0.769906645	0.499576923	0.007474909	0.002477638	0.653405245
C16EB1	1	1.825703704	0.772004706	0.416251852	0.006571876	0.002180389	0.581103555
C16EB2	1	1.8715	0.766240983	0.43748	0.007042565	0.002613279	0.508836894
C16EB3	1	1.832983333	0.767864774	0.4255	0.008718649	0.00241216	0.497193796
C17SB1	2	1.974066667	0.821531694	0.352308333	0.007952618	0.001445931	0.251906004
C17SB2	2	1.937861538	0.822992831	0.343015385	0.008370261	0.002024181	0.216514707
C17SB3	2	1.928813333	0.813660904	0.359413333	0.007798847	0.002060565	0.253198481
C17RB1	3	1.9517	0.855554498	0.281914286	0.010360866	0.00170008	0.337919283
C17RB2	3	2.03972	0.862687035	0.28008	0.015529788	0.004230018	0.366465737
C17RB3	3	1.764458333	0.848697665	0.266966667	0.008943369	0.001563526	0.346763001
C17EB1	2	1.86915	0.790698089	0.391216667	0.00609722	0.0012586	0.263066064
C17EB2	2	1.888345455	0.781034865	0.413481818	0.007905619	0.0004865	0.250370397
C17EB3	2	1.799654545	0.760509593	0.431	0.009675381	0.000947792	0.335324324
C18SB1	1	1.447953846	0.551000351	0.650130769	0.041742222	0.008426667	0.7773292
C18SB2	1	1.542814286	0.617693084	0.589828571	0.039340299	0.00705708	0.750330205
C18SB3	1	1.6502625	0.700676408	0.4939625	0.050364185	0.030378398	0.836673991
C18RB1	2	1.874164286	0.820079807	0.3372	0.006632277	0.003148657	0.307703651
