"","water_33","water_32","water_23","water_24","water_25","water_26","water_27","water_21","water_20","water_31","water_28","water_19","water_29","water_16","water_30","water_13","water_18","water_15","water_14","water_17","water_12","water_11","water_7","water_6","water_8","water_5","water_9","water_10","water_4","water_3","water_1"
"water_12",0.45681939356567,0.458098088747571,0.518061468788012,0.254336360449341,0.350968369680388,0.309872822698765,0.221823828710358,0.167595049291928,0.141824717495381,0.299362820198381,0.405782523484057,0.18779819409776,0.168577134290142,0.170636676727274,0.234348901446144,0.327519278982678,0.242708316462841,0.187547130168378,0.0993812229336709,0.178182873400335,0,0.0654286504485279,0.20127427989912,0.20904481540179,0.146122371006915,0.161176886622425,0.20274134960565,0.137996099050204,0.118309559300107,0.337154521776688,0.419905842843986
"water_11",0.549814778946804,0.422084900568772,0.618325254580128,0.333333333333333,0.45822994210091,0.444906160826782,0.31321874870262,0.214764707960244,0.204230556247157,0.343253153697749,0.409243488625949,0.173355535993716,0.234716256981841,0.159462626958186,0.2122800274915,0.320780441949469,0.194606906537921,0.210683968943483,0.00801832760595649,0.199589815608256,0.0654286504485279,0,0.195017182130584,0.166666666666667,0.202334561180296,0.303409515577797,0.199346226924348,0.258421790771044,0.412679425837321,0.389256430644763,0.413666788085699
"water_7",0.19290569768879,0.104470802919708,0.173758865248227,0.756013745704467,0,0.0767238270046401,0.132036515852326,0.167628319131928,0.22597251395629,0.127781569449424,0.0895888647592037,0.078165547165339,0,0.0678191371280847,0.0842355754173621,0.0495435539117872,0.0871500370365396,0.156214256383145,0.15358933186612,0.0804814803710637,0.20127427989912,0.195017182130584,0,0.0366027211785397,0.125618885108793,0.0599697095770549,0.151288724051929,0.0703460889356405,0.00481099656357389,0.290650406504065,0.286225658648339
"water_6",0.23649659839235,0.152897892010023,0.28282168576696,0.35926165610497,0.251629384089415,0.120950073382217,0.0667044288229327,0.135644455264389,0.174358298208795,0.0390379067131885,0.21728998165297,0.0656627988847259,0.196364829625321,0.276586838678914,0.0461397605142747,0.0345114314517614,0.217167964092469,0.135345737362338,0.0337259100642399,0.0793866132046386,0.20904481540179,0.166666666666667,0.0366027211785397,0,0.180221943986749,0.111956006166252,0.0421949923113877,0.260287081339713,0.208616579949626,0.306454798438275,0.247388788570291
"water_8",0.578009730576428,0.547303826662319,0.666129433586681,0.55239870814524,0.560356652949246,0.319418917243324,0.373119786110276,0.356981995018687,0.310751073877973,0.3790569445945,0.371876653489186,0.273710665924441,0.387612258724298,0.274757828794036,0.183091290777995,0.404370078109164,0.463758716993889,0.29472962224402,0.252004581901489,0.339262465923766,0.146122371006915,0.202334561180296,0.125618885108793,0.180221943986749,0,0.0798018504451866,0.214074038320356,0.0771312220595728,0,0.140743906066294,0.235964836976484
"water_5",0.361983917198907,0.0457251234672225,0.386319541024943,0.110901071203529,0.397941879915294,0.191697649890442,0.0432602559731272,0.0467073257798556,0.248774971235288,0.121168409292608,0.0952375708207635,0.283524254390658,0.0695009231986638,0.327878394684434,0.195040925926473,0.0862079590546639,0.270589257697809,0.209004487089787,0.0815817451868368,0.350287399563604,0.161176886622425,0.303409515577797,0.0599697095770549,0.111956006166252,0.0798018504451866,0,0.0798188480611019,0.0310808197989176,0.0373290367928148,0.0910654592430147,0.108898457917009
"water_9",0.291822661366063,0.127268470780417,0.409685105233866,0.564123468792162,0.315859179853667,0.250481062533096,0.233071030014535,0.236408790323591,0.20749433355268,0.0620182555780934,0.291112875090212,0.232766703590049,0.36269962620503,0.48963277251875,0.145371305730425,0.0852750004139022,0.385833524758125,0.519452856932622,0.0331079333407237,0.364062903583314,0.20274134960565,0.199346226924348,0.151288724051929,0.0421949923113877,0.214074038320356,0.0798188480611019,0,0.1874016050154,0,0.296611487521562,0.263622862426193
"water_10",0.628710575139147,0.5,0.691756272401434,0.552910052910053,0.533653846153846,0.363620062027575,0.407014530633824,0.406204908426262,0.374869368419885,0.5,0.302362361174408,0.395975182454228,0.250175464412798,0.346574096799148,0.327969453560441,0.499615894039736,0.290340600259955,0.569978350865916,0.473398773006135,0.44955720324774,0.137996099050204,0.258421790771044,0.0703460889356405,0.260287081339713,0.0771312220595728,0.0310808197989176,0.1874016050154,0,0.134615384615386,0.199370946298578,0.135298859926512
"water_4",0,0.253152088258472,0.388888888888889,NA,0.0376344086021508,0.0794775287460052,0.145084823313715,0.156615503377045,0.257737883635502,0.275226504921927,0.183209689566104,0.150882603435944,0,0.054937646104868,0.12029307196589,0.0233536628899278,0.166738713629302,0.201886724439477,0.187770150928142,0.220260137579675,0.118309559300107,0.412679425837321,0.00481099656357389,0.208616579949626,0,0.0373290367928148,0,0.134615384615386,0,0.255251650669862,0.14358608862155
"water_3",0.610000643797016,0.712630236019562,0.761470204545656,0.5,0.596759655066865,0.383629292031468,0.342691914232848,0.516151421033545,0.396628514756683,0.519520827508047,0.440439666721735,0.388996151612279,0.684506896879963,0.520447419461896,0.232159772655511,0.318583384071726,0.49097793178105,0.544212467368506,0.53356049736968,0.485236769915574,0.337154521776688,0.389256430644763,0.290650406504065,0.306454798438275,0.140743906066294,0.0910654592430147,0.296611487521562,0.199370946298578,0.255251650669862,0,0.0753489614639686
