"","sediment_33","sediment_32","sediment_23","sediment_24","sediment_25","sediment_26","sediment_27","sediment_21","sediment_20","sediment_31","sediment_28","sediment_19","sediment_29","sediment_16","sediment_30","sediment_13","sediment_18","sediment_15","sediment_14","sediment_17","sediment_12","sediment_11","sediment_7","sediment_6","sediment_8","sediment_5","sediment_9","sediment_10","sediment_4","sediment_3","sediment_1"
"sediment_11",0.290800252047889,0.512027491408935,0.150018239299611,0.219848132136127,0.0741872584487244,0.0764148400483505,0.103983031078268,0.00481099656357389,0.149356054628236,0.256124598159849,0.00481099656357389,0.0206545211441042,0.114789485763231,0.1114200576488,0.119478073286868,0.207813284252941,0.0695489111421308,0.0321275515926613,0.195819712356428,0.108546558717192,0.0106856642472898,0,0.164477235561372,0.15025918947624,0.162136579145914,0.0120274914089347,0.031929020506493,0.00400916380297824,0.0337259100642399,0.13490364025696,0.00481099656357389
"sediment_7",0.154719235364397,0.362934362934363,0.277777777777778,0.0704079057215522,0.277777777777778,0.00962199312714778,0.086722883012923,0.059202059202059,0,0.221521795465484,0.0648148148148148,0.155528304326941,0.00801832760595649,0.0730618338586356,0.0919787279516974,0.297836342129466,0.128355686422389,0.0733471556350926,0.202510167633547,0.151109556905141,0,0.164477235561372,0,0.0649715986136285,0.0777777777777778,0.0759952175212632,0.176443170280467,0.124918112064627,0.0189902822195293,0.0164579319203592,0.279040404040404
"sediment_6",0.273142598364368,0.442998221594013,0.294292630490705,0.332503795814244,0.245230807917115,0.302437601227278,0.209983968608539,0.310401740533885,0.223405694146937,0.274222372324582,0.308915805393412,0.201017525007273,0.18118336807897,0.187765003766425,0.179801085295199,0.121948237372739,0.0734735352959497,0.175909434523061,0.180287492109907,0.197474447305414,0.165707345413519,0.15025918947624,0.0649715986136285,0,0.0458235422071114,0.0260550669128357,0.0706024567015589,0.123450344711031,0.245521379077235,0.32320239841681,0.180834625486017
"sediment_8",0.333333333333333,0.575862068965517,0.428571428571429,0.644474961170559,0.486119879753887,0.575791388720437,0.174588164605931,0.341509587031451,0.531381448045648,0.17244585749643,0.333333333333333,0.210107755525096,0.26396132336096,0.317569642465453,0.228627532186705,0.321949504277505,0.102111452668236,0.194340483778355,0.250362733867889,0.225751119336316,0.163524932796563,0.162136579145914,0.0777777777777778,0.0458235422071114,0,0.00601374570446736,0.0746301424544073,0.130174083973244,0.0529862076916097,0.386079271108872,0.146989433526592
"sediment_5",0.0120274914089347,0,0.00801832760595649,NA,0.00801832760595649,0.0240549828178695,0.0273884563094799,0,0,0.0103171781806691,0.00801832760595649,0.201030927835052,0.0120274914089347,0.0548833423765598,0.0923099925427827,0.130975600047765,0.0624427815149464,0.0180412371134021,0.0240549828178695,0.0411262609466802,0,0.0120274914089347,0.0759952175212632,0.0260550669128357,0.00601374570446736,0,0.0343798324162982,0.0180412371134021,0.0336976320582878,0.0336976320582878,0.187831927522649
"sediment_9",0.0501792114695344,0.460689655172414,0.307219662058372,0.275272460855672,0.341673443570977,0.369902032945511,0.104641147834219,0.296270712931624,0.178194530788301,0.197549129250719,0.167798945318068,0.134244833007829,0.180206386456758,0.249265871180055,0.135135135135135,0.285918303178038,0.183094498430323,0.236928313945273,0.274830950005543,0.249670451189736,0.146270694657792,0.031929020506493,0.176443170280467,0.0706024567015589,0.0746301424544073,0.0343798324162982,0,0.153763581930368,0.283621878060143,0,0.0618992514966865
"sediment_10",0.209161099066413,0.29248137978738,0.292732184248785,0.733404980827661,0.271875230769495,0.310212250351925,0.157877641399313,0.277682984697444,0.346953126389082,0.189053521156685,0.172438369815795,0.102198914347747,0.354468172684878,0.360347495647765,0.162586014467482,0.316412185274514,0.0682267658987269,0.169133322156967,0.147278790648858,0.13408806398717,0.094191131403701,0.00400916380297824,0.124918112064627,0.123450344711031,0.130174083973244,0.0180412371134021,0.153763581930368,0,0.426980728051392,0.105086228730631,0.158036803015187
"sediment_4",0.13490364025696,NA,0.0674518201284799,NA,0.0449678800856533,0.0120274914089347,0.0210940713320409,0,0.0972222222222222,0.00303582270795392,0.0674518201284799,0.0397396557687073,0.225025237464532,0.0645706057742501,0.0496619000110856,0.073194005802378,0.129806514972839,0.0449678800856533,0.0701660381244524,0.078075813426377,0.00801832760595649,0.0337259100642399,0.0189902822195293,0.245521379077235,0.0529862076916097,0.0336976320582878,0.283621878060143,0.426980728051392,0,0,0.0674518201284799
"sediment_3",0.13490364025696,NA,0.13490364025696,0.857484314311323,0.410693370281732,1,0.291542542001253,NA,NA,0.00910746812386176,0.13490364025696,0.105086228730631,NA,0.105086228730631,0.0376344086021508,0.345738827539498,0.105086228730631,0.273850841845882,0.105086228730631,0.105086228730631,NA,0.13490364025696,0.0164579319203592,0.32320239841681,0.386079271108872,0.0336976320582878,0,0.105086228730631,0,0,0.34534460448059
"sediment_1",0,0.263157894736842,0.21505376344086,0.573020629807607,0.224549144020472,0.40913487899126,0.180642199830131,0.166666666666667,0.166666666666667,0.214432989690722,0.00662482566248397,0.319413153613033,0.289739655768707,0.330771409920063,0.45000158689854,0.240912229896949,0.270279329640819,0.218643354742457,0.203559749473451,0.267452436863725,0.0673129601362013,0.00481099656357389,0.279040404040404,0.180834625486017,0.146989433526592,0.187831927522649,0.0618992514966865,0.158036803015187,0.0674518201284799,0.34534460448059,0
