Sample_ID	season	cluster	habitat	field_replicate	d14N_15N	d12C_13C	N	C	CN_ratio	Density	Dry_matter	Grain_size	Water_content	Organic_content	Inorganic_content	TP	NP_ratio	hb	snch	Salinity	sal_group	log_N	log_C	log_Organic_content	log_Inorganic_content	log_CN_ratio	log_NP_ratio	log_TP	d14N_15N_summedmin	cube_d14N_15N	hab_uni
31	2C14SB1	autumn	14	SB	1	2.012419046	-23.87555517	119.9246647	1061.644626	10.32802885	1.85838	0.811050485	2	0.35114	0.008366494	0.00882576	0.681407825	175.99543225087	sand	autumn_14_sand	26.73888949	3	4.78686375147011	6.96757451868309	-4.78352035917566	-4.73008056089063	2.33486144691767	5.17045804158131	-0.383594290111199	28.956697336	24279.910433032	sand
32	2C14SB2	autumn	14	SB	2	3.828898897	-23.81793036	106.4857192	938.4923707	10.28220286	1.926218182	0.80709728	2	0.371572727	0.007937087	0.008465821	0.746398509	142.666039543227	sand	autumn_14_sand	26.73888949	3	4.66801088413956	6.84427472674472	-4.83620894761308	-4.77171828050405	2.33041452306327	4.96050651117899	-0.292495627039423	30.773177187	29141.8428791377	sand
33	2C14SB3	autumn	14	SB	3	3.415701262	-24.38591786	116.6115739	1042.492611	10.42985133	1.89741	0.816249519	2	0.34865	0.008740214	0.00879995	0.789361909	147.728909351262	sand	autumn_14_sand	26.73888949	3	4.75884853056833	6.94936986587805	-4.73982060448859	-4.7330092393323	2.34467201483631	4.99537890058956	-0.236530370021232	30.359979552	27983.6541134575	sand
34	2C15RB1	autumn	15	RB	1	6.942535131	-23.2944762	373.1501721	4305.168957	13.46025673	1.820527273	0.800157796	1	0.363818182	0.018482927	0.010366979	0.442019521	844.193874641116	rocks	autumn_15_rocks	28.81402122	3	5.92198094478592	8.36757166278159	-3.99090783786468	-4.56912962030155	2.59974139758595	6.73838217750724	-0.81640123272132	33.886813421	38912.7742365418	rocks
35	2C15RB2	autumn	15	RB	2	7.07232607	-23.69969723	332.9992956	4277.80656	14.98734197	1.846525	0.800774428	1	0.367875	0.018920827	0.008073697	0.468155303	711.300915457108	rocks	autumn_15_rocks	28.81402122	3	5.80814037466289	8.36119567122871	-3.96749200595427	-4.8191437851228	2.70720597617794	6.56709556875834	-0.758955194095444	34.01660436	39361.6120469446	rocks
36	2C15RB3	autumn	15	RB	3	6.907750795	-23.90928696	308.890714	4122.788239	15.57159019	1.872381818	0.809717326	1	0.356281818	0.019553421	0.00851879	0.51142709	603.978005936291	rocks	autumn_15_rocks	28.81402122	3	5.7329875379641	8.32428497048563	-3.93460502064696	-4.76548096700588	2.74544811229428	6.40353778325905	-0.670550245294944	33.852029085	38793.0669568508	rocks
37	2C15SB1	autumn	15	SB	1	7.062967876	-20.95146589	323.4870747	2791.066788	10.06607324	1.83858	0.805279074	2	0.35801	0.009939029	0.004837288	0.319885718	1011.2582603641	sand	autumn_15_sand	28.90309459	3	5.77915915858325	7.93417916302428	-4.61128594920195	-5.33140104587596	2.30917068430624	6.91895063680816	-1.13979147822492	34.007246166	39329.1350597745	sand
38	2C15SB2	autumn	15	SB	2	7.011124565	-20.81982331	306.8774038	2818.206958	10.71407695	1.816690909	0.793775896	2	0.374645455	0.010272212	0.005033676	0.327101998	938.170374000589	sand	autumn_15_sand	28.90309459	3	5.72644833167493	7.94385613120977	-4.57831289361822	-5.29160474667647	2.3715584796245	6.8439315679076	-1.11748323623267	33.955402855	39149.5398807854	sand
39	2C15SB3	autumn	15	SB	3	5.887077394	-21.71446941	240.7492164	2028.666928	9.830885921	1.81195	0.801539778	2	0.3596	0.006632519	0.004402775	0.282005243	853.704753283612	sand	autumn_15_sand	28.90309459	3	5.48375579584428	7.61513417060904	-5.01577060727499	-5.42552025503594	2.28552905430973	6.74958541186255	-1.26582961601827	32.831355684	35388.8498728576	sand
40	2C16EB1	autumn	16	EB	1	3.47137941	-21.36156671	125.6038078	1263.852943	11.73925476	1.823882727	0.816749582	2	0.334227273	0.004012556	0.002330607	0.475754415	264.009757639348	eelgrass	autumn_16_eelgrass	22.0976984	2	4.83313257045353	7.14192022537519	-5.5183268342371	-6.06162653031121	2.46293833367981	5.57598606321839	-0.74285349276486	30.4156577	28137.8970228522	eelgrass
41	2C16EB2	autumn	16	EB	2	6.320318311	-21.29722541	125.8375021	1226.456519	11.37074334	1.838743	0.812023758	2	0.34564	0.004177425	0.002760883	0.534601071	235.385802472513	eelgrass	autumn_16_eelgrass	22.0976984	2	4.83499140874373	7.11188441178599	-5.47806025097725	-5.89220472288275	2.43104368293415	5.46122588065605	-0.626234471912322	33.264596601	36808.386745	eelgrass
42	2C16EB3	autumn	16	EB	3	5.66246489	-19.76279542	122.0978699	1339.565289	12.79978243	1.788476	0.818213943	2	0.32512	0.006466457	0.005291041	0.567861619	215.013421958352	eelgrass	autumn_16_eelgrass	22.0976984	2	4.80482293542804	7.20010042911823	-5.041126924787	-5.24174026608242	2.54942817312486	5.3707004538924	-0.565877518464362	32.60674318	34667.4795932496	eelgrass
43	2C16RB1	autumn	16	RB	1	6.042277246	-17.81006485	2186.024623	18919.42226	10.09716865	1.2818725	0.40724084	1	0.759841667	0.069716564	0.029704896	1.677406032	1303.21733754204	rocks	autumn_16_rocks	21.88548944	2	7.68983993262547	9.84794430619884	-2.66331734239042	-3.51644339827465	2.31225505286377	7.17259136102227	0.517248571603201	32.986555536	35893.0948282895	rocks
44	2C16RB2	autumn	16	RB	2	5.784693094	-17.55112926	3473.049751	29233.90146	9.820250447	1.492905455	0.411751094	1	0.8782	0.092783442	0.02076448	2.015210474	1723.4178741173	rocks	autumn_16_rocks	21.88548944	2	8.15278837772065	10.2830843237108	-2.37748708183406	-3.87451144435119	2.28444662580898	7.45206473417889	0.700723643541764	32.728971384	35058.80179727	rocks
45	2C16RB3	autumn	16	RB	3	4.929104515	-17.37463551	890.4685655	8217.438703	10.7662552	1.692371818	0.67588253	1	0.548527273	0.030394782	0.009819094	0.766129449	1162.29517957089	rocks	autumn_16_rocks	21.88548944	2	6.79174780227511	9.01401384618594	-3.49348433003945	-4.62342642156451	2.37641672411196	7.05815193232186	-0.266404130046749	31.873382805	32380.5690107947	rocks
46	2C16SB1	autumn	16	SB	1	3.479532926	-18.58415381	337.981022	2997.961401	10.34857405	1.861500909	0.794818551	2	0.381945455	0.007466739	0.00270027	0.424248585	796.657982960627	sand	autumn_16_sand	22.11475489	2	5.82298974597767	8.00568780366305	-4.89729692133618	-5.91440351097152	2.33684873727295	6.68042545614862	-0.857435710170947	30.423811216	28160.5318416655	sand
47	2C16SB2	autumn	16	SB	2	3.248001767	-16.59360561	320.3177481	2607.112451	9.495668634	1.824727857	0.799684415	2	0.365521429	0.006884436	0.003134254	0.461717868	693.75211638983	sand	autumn_16_sand	22.11475489	2	5.7693134659448	7.86599854725718	-4.97849206736825	-5.76536409174657	2.25083576137416	6.542114715708	-0.772801249763196	30.192280057	27522.490708634	sand
48	2C16SB3	autumn	16	SB	3	2.791489761	-17.04158952	306.2120489	2536.124036	9.662622309	1.856025455	0.797328407	2	0.376163636	0.006850704	0.00320511	0.42702633	717.080019164158	sand	autumn_16_sand	22.11475489	2	5.72427783222079	7.83839222445569	-4.98340385826623	-5.74300886782561	2.26826507194468	6.57518743711191	-0.850909604891116	29.735768051	26292.8389564741	sand
49	2C17EB1	autumn	17	EB	1	3.632242191	-19.63033468	205.710906	1834.904668	10.40645902	1.9102525	0.798220392	1	0.38545	0.006391138	0.003635847	0.219494744	937.201967806573	eelgrass	autumn_17_eelgrass	27.44520775	3	5.32647181421311	7.51474780709552	-5.05284293568215	-5.61691318276018	2.342426672985	6.84289880629701	-1.5164269920839	30.576520481	28586.7107480447	eelgrass
50	2C17EB2	autumn	17	EB	2	3.533561907	-18.64073026	316.7092623	3142.420327	11.57578096	1.853200769	0.776689893	1	0.413838462	0.008819342	0.003508834	0.268371197	1180.11644260021	eelgrass	autumn_17_eelgrass	27.44520775	3	5.75798419940679	8.05274858676193	-4.730808014921	-5.65247149042512	2.44891506724277	7.07336839276081	-1.31538419335402	30.477840197	28310.8274505995	eelgrass
51	2C17EB3	autumn	17	EB	3	2.967137078	-19.71076633	319.5064706	2934.072543	10.71366294	1.839758182	0.772781403	1	0.418027273	0.009056335	0.003442675	0.259809376	1229.77267225337	eelgrass	autumn_17_eelgrass	27.44520775	3	5.76677752588169	7.98414668334615	-4.70429076615603	-5.67150649350465	2.37151983719164	7.11458461197907	-1.34780708609738	29.911415368	26761.5270497878	eelgrass
52	2C17RB1	autumn	17	RB	1	8.285474793	-24.61032093	98.10985071	1490.529527	17.72453125	1.869973636	0.822365021	2	0.332172727	0.005811421	0.003397982	0.293264305	334.5441263641	rocks	autumn_17_rocks	27.2721379	3	4.58608777651478	7.30688672305274	-5.14793015970946	-5.68457355298009	2.87494962637033	5.81276878824942	-1.22668101173464	35.229753083	43724.8972881919	rocks
53	2C17RB2	autumn	17	RB	2	0.82281451	-21.80278037	37.69812978	459.1922488	14.21089835	1.921672308	0.842276799	2	0.303092308	0.00374764	0.002889172	0.208311837	180.969695831543	rocks	autumn_17_rocks	27.2721379	3	3.62961048526589	6.12946896507195	-5.5866289704465	-5.84678532309856	2.65400915967442	5.19832959090341	-1.56871910563752	27.7670928	21408.7462755312	rocks
54	2C17RB3	autumn	17	RB	3	0.830708933	-23.26774182	63.66333002	688.1741282	12.6111816	1.90616	0.836930602	2	0.310836364	0.004689584	0.002635403	0.235295391	270.567688340313	rocks	autumn_17_rocks	27.2721379	3	4.15360872994234	6.53404189922459	-5.36241139981831	-5.93871916750665	2.53458384899693	5.60052230114331	-1.44691357120097	27.774987223	21427.0115389147	rocks
55	2C17SB1	autumn	17	SB	1	3.917242493	-16.78255618	340.5409714	2843.956914	9.743173394	1.919384545	0.822888303	1	0.339945455	0.01377155	0.005045347	0.353685346	962.835964937037	sand	autumn_17_sand	27.3424993	3	5.83053544551677	7.95295164101934	-4.28515040903244	-5.28928884657061	2.27656687506202	6.86988305973664	-1.03934761421987	30.861520783	29393.5451757425	sand
56	2C17SB2	autumn	17	SB	2	3.721662619	-18.0692415	236.3785928	2198.242178	10.84961139	1.931248182	0.829417904	1	0.329436364	0.012462195	0.004045698	0.211754378	1116.2866856996	sand	autumn_17_sand	27.3424993	3	5.46543472644005	7.69541330996778	-4.38505561741392	-5.51010118464376	2.38412926275518	7.01776299677908	-1.55232827033903	30.665940909	28838.2487404576	sand
