Sample_ID	d14N_15N	Norm_d14N_15N	d12C_13C	Norm_d12C_13C	Remarks	QC	MISS
C28SB2	-4.785	-4.068904224	-22.431	-21.51884412	N and C under QL	NC_und_QL	
C28SB3	-1.657	-1.027248013	-22.994	-22.26130641	N and C under QL	NC_und_QL	
C29EB1	10.745	11.03241322	-24.366	-24.37261822		OK	
C29EB2	10.121	10.42563781	-24.795	-24.81429337		OK	
C29EB3	10.029	10.33617733	-24.429	-24.43399705		OK	
C29RB1	7.907	8.272751987	-23.298	-22.97659651		OK	
C29RB2	8.681	9.025386867	-23.175	-22.82721377		OK	
C29RB3	9.778	10.09210581	-22.245	-22.17108209		OK	
C29SB1	3.382	3.872657884	-23.268	-22.96958674		OK	
C29SB2	-2.308	-1.660278126	-24.454	-24.24757711		OK	
C29SB3	5.639	6.067356754	-23.967	-23.73877593	brugt til blank correction	btbc	
C2RB1	8.4	8.034705117	-23.762	-22.98757059	N and C under QL	NC_und_QL	
C2RB2	8.541	8.175789028	-24.519	-23.87610438	N and C under QL	NC_und_QL	
C2RB3	9.517	9.152369857	-22.659	-21.58143911	N and C under QL	NC_und_QL	
C30EB1	-0.777	-0.882163501	-21.19	-20.21797746		OK	
C30EB2	0.831	0.711230388	-18.174	-17.85693297		OK	
C30EB3	1.587	1.460363336	-21.149	-20.56778112		OK	
C30RB1	-0.184	0.405092012	-19.853	-19.76081582		OK	
C30RB2	0.196	0.081998348	-21.435	-21.34695771		OK	
C30RB3	1.486	1.36028076	-19.276	-19.07840248		OK	
C30SB1	-1.032	-0.419500209	-21.643	-20.75859565	N under QL	N_und_QL	
C30SB2	-4.384	-3.678973233	-21.177	-20.25119887	N under QL	N_und_QL	
C30SB3	-8.475	-7.657047261	-21.332	-20.41274622		OK	
C31EB1	-5.561	-5.622708505	-21.531	-20.6919001		OK	
C31EB2	-1.85	-1.945417011	-21.178	-20.5607752		OK	
C31EB3	0.13	0.016597853	-21.39	-20.71957432		OK	
C31RB1	1.509	1.383071841	-12.34	-11.76667964		OK	
C31RB2	-3.294	-3.376300578	-9.064	-8.373138105		OK	
C31RB3	-4.291	-4.364244426	-7.149	-6.391645291		OK	
C31SB1	-3.918	-3.994632535	-22.709	-21.38048552	N and C under DL	NC_und_QL	
C31SB2	-1.231	-1.332039637	-22.018	-20.32283915	N and C under DL	NC_und_QL	
C31SB3	-1.864	-1.959289843	-23.424	-22.19246944	N and C under DL	NC_und_QL	
C32RB1	-1.437	-1.536168456	-24.246	-24.24156386		OK	
C32RB2	-4.198	-4.272089182	-26.554	-26.66638238		OK	
C32RB3	-7.309	-7.354830718	-23.031	-22.76212654		OK	
C32SB1	-10.58	-10.59611891	-28.358	-28.62409982	N and C under DL	NC_und_QL	
C32SB2	-2.358	-2.448802642	-29.582	-30.52085312	C under QL	C_und_QL	
C32SB3	-4.65	-4.719983485	-29.483	-30.23059471	N and C under DL	NC_und_QL	
C33RB1	-14.031	-14.01577209	-26.577	-26.32330337	N and C under DL	NC_und_QL	
C33RB2	-3.226	-3.308918249	-26.913	-26.78455205	N and C under DL	NC_und_QL	
C33RB3	-5.827	-5.88629232	-26.025	-25.69773137	N and C under DL	NC_und_QL	
C33SB1	-13.745	-13.73236994	-23.93	-23.11286559	C under QL	C_und_QL	
C33SB2	-19.356	-19.29240297	-24.913	-24.39077875	C under QL	C_und_QL	
C33SB3	-12.621	-12.61857969	-24.03	-23.23206078	C under QL	C_und_QL	
C3RB1	5.627	5.260054871	-27.264	-27.27771495	N and C under QL	NC_und_QL	
C3RB2	10.084	9.719707286	-24.201	-23.18226229	N and C under QL	NC_und_QL	
C3RB3	6.26	5.893431577	-26.4	-25.97559815	N and C under QL	NC_und_QL	
C3SB1	5.384	5.016910259	-25.582	-24.7149411	N and C under QL	NC_und_QL	
C3SB2	3.546	3.177816443	-26.202	-25.66612729	N and C under QL	NC_und_QL	
C3SB3	7.277	6.911036806	-25.872	-25.15723829	N and C under QL	NC_und_QL	
C4RB1	9.237	8.872203226	-23.319	-22.18029546	N and C under QL	NC_und_QL	
C4RB2	6.209	5.842401227	-23.303	-21.96182141	N and C under QL	NC_und_QL	
C4RB3	4.487	4.119376444	-25.331	-24.87044032	N and C under QL	NC_und_QL	
C4SB1	5.128	4.76075791	-28.368	-28.97336293	N and C under QL	NC_und_QL	
C4SB2	7.669	7.30327009	-27.596	-27.6993663	N and C under QL	NC_und_QL	
C4SB3	4.616	4.248453213	-27.293	-27.22146536	N and C under QL	NC_und_QL	
C5RB1	0.576	0.206048961	-25.032	-24.35685512	N and C under QL	NC_und_QL	
C5RB2	4.555	4.187416911	-25.907	-25.36626153	N and C under QL	NC_und_QL	
C5RB3	-0.948	-1.31885799	-25.625	-24.70278986	N and C under QL	NC_und_QL	
C5SB1	2.522	2.153207049	-25.393	-24.70478632	N and C under QL	NC_und_QL	
C5SB2	4.327	3.959281226	-24.55	-23.11502187	N and C under QL	NC_und_QL	
C5SB3	3.947	3.579055083	-24.137	-22.64919544	N and C under QL	NC_und_QL	
C6RB1	5.385	5.017910854	-23.366	-23.09969242		OK	
C6RB2	4.999	4.631681141	-23.379	-22.73617738		OK	
C6RB3	5.995	5.628273873	-21.98	-21.14134988		OK	
C6SB1	2.886	2.517423669	-21.57	-20.55103338		OK	
C6SB2	3.606	3.23785215	-21.806	-20.88517523		OK	
C6SB3	3.42	3.051741459	-22.223	-21.37008822		OK	
C7RB1	4.048	3.680115189	-26.303	-25.96477144	N and C under QL	NC_und_QL	
C7RB2	6.071	5.704319101	-23.084	-22.28888368	N under DL	N_und_QL	
C7RB3	4.245	3.877232427	-25.113	-24.5093849	N and C under QL	NC_und_QL	
C7SB1	1.028	0.658317951	-27.64	-27.78773474	N and C under QL	NC_und_QL	
C7SB2	-3.255	-3.627230914	-26.767	-26.52300741	N and C under QL	NC_und_QL	
C7SB3	0.436	0.065965645	-26.271	-25.55618705	N and C under QL	NC_und_QL	
C8EB1	8.04	7.674490877	-17.515	-15.92300012		OK	
C8EB2	8.141	7.775550983	-18.292	-17.58324927		OK	
C8EB3	8.243	7.877611684	-17.798	-17.03564862		OK	
C8RB1	7.047	6.68089993	-22.446	-22.13080143		OK	
C8RB2	6.166	5.799375637	-30.149	-30.58146609		OK	
C8RB3	6.429	6.062532151	-24.663	-24.55391573		OK	
C8SB1	8.218	7.852596807	-17.915	-17.15238513		OK	
C8SB2	7.721	7.355301036	-14.001	-12.88144347		OK	
C8SB3	7.485	7.119160589	-18.794	-18.11175287		OK	
C9EB1	10.205	9.835313465	-18.592	-19.07342023		OK	
C9EB2	9.799	9.43021595	-18.981	-19.43113913		OK	
C9EB3	9.905	9.535980326	-18.401	-18.89509514		OK	
C9RB1	9.563	9.194740548	-19.424	-19.92343416		OK	
C9RB2	9.467	9.098953943	-19.051	-19.55574773		OK	
C9RB3	13.176	12.79970932	-18.202	-18.73019916		OK	
C9SB1	9.229	8.864198465	-20.527	-19.97970458		OK	
C9SB2	9.207	8.842185372	-19.712	-19.1021095		OK	
C9SB3	10.491	10.12067772	-18.271	-18.68038675		OK	
