Sample_ID	NO2NO3 	NO2 	NH3	PO4	Si 	NO3 	Latitude	Longitude	Chlorophyll	Salinity	Temperature	CTD_depth	Time
2C27EW	0.945	0.075	1.01	0.29	5.51	0.87	56.04229589	12.61937113	1.721135856	19.22930972	12.77262783	96.17471695	16/10/2019
2C27RW	1.005	0.07	3.035	0.71	5.43	0.935	56.0411843	12.6181348	3.143153948	18.60456674	12.78512383	47.79176712	16/10/2019
2C27SW	0.72	0.055	0.51	0.28	4.18	0.665	56.04450606	12.60919503	2.813844495	20.56559768	12.82640076	93.58301163	16/10/2019
2C28EW	0.195	-0.005	0.935	0.2	2.76	0.2	55.95139329	11.8471504	1.156819202	19.16525512	12.77928925	98.86760712	01/10/2019
2C28RW	0.67	0.015	3.91	0.25	4.115	0.655	55.96726649	11.8442571	1.810947525	19.17607607	13.36939621	27.96449661	01/10/2019
2C28SW	0.255	0	0.795	0.19	3.4	0.255	55.96898158	11.84613189	1.601386964	18.30380049	13.54317856	104.1571617	01/10/2019
2C29EW	4.015	0.52	2.685	5.44	14.995	3.495	55.68531813	12.07090738	3.876615912	14.5029316	14.19524384	74.12033081	30/09/2019
2C29RW	3.24	0.425	2.44	5.035	14.25	2.815	55.67983516	12.06896049	5.074104831	14.46906247	13.79972839	22.57242203	30/09/2019
2C29SW	3.755	0.51	2.525	4.91	15.35	3.245	55.68356509	12.07310664	8.215223048	14.56012987	14.06117219	85.0262666	30/09/2019
2C30EW	0.33	-0.01	1.085	0.21	1.785	0.34	55.75904756	11.31756065	0.806553693	20.59974741	11.36923409	88.2935524	09/10/2019
2C30RW	0.365	-0.005	0.56	0.26	2.045	0.37	55.75466545	11.32239182	1.305008456	20.59251327	12.26506233	101.3545036	09/10/2019
2C30SW	0.25	-0.005	5.64	0.225	1.475	0.255	55.75885483	11.34937786	1.363386041	20.57601437	11.32012463	94.74573135	09/10/2019
2C31EW	0.33	-0.03	0.67	0.105	4.815	0.36	55.34659324	11.10107746	1.870821971	14.62589578	12.06023502	98.97518158	08/10/2019
2C31RW	0.52	-0.025	1.215	0.105	5.29	0.545	55.32808218	11.12842404	2.424660596	13.91311981	12.43216896	28.12356949	08/10/2019
2C31SW	0.37	-0.025	0.685	0.115	5.36	0.395	55.3475465	11.10117661	2.170194201	14.54016914	12.47414112	100.6666183	08/10/2019
2C32RW	0.18	-0.025	0.755	0.14	8.415	0.205	55.2521937	14.8263621	3.502400624	7.773209631	12.97750854	90.46506882	14/10/2019
2C32SW	0.335	-0.015	0.485	0.195	9.675	0.35	55.2571398	14.8194941	1.795978913	7.764268105	12.98147392	31.45647049	14/10/2019
2C33RW	5.37	0.125	0.41	0.195	10	5.245	55.02243003	14.90372037	4.011333415	7.642738844	13.25653839	67.93737411	15/10/2019
2C33SW	1.45	0.045	0.795	0.175	10.325	1.405	55.02055438	14.91194958	NA	7.713237434	12.58662796	99.71923828	15/10/2019
2C3RW	3.255	0.51	5.58	0.805	9.135	2.745	55.9967104	8.1173628	1.101599995	32.22219519	15.4725914	75.65765381	24/09/2019
2C3SW	0.925	0.165	-0.125	0.215	10.7	0.76	55.98988942	8.12051726	3.322941941	32.06534178	14.95973206	95.33128738	23/09/2019
2C4RW	22.715	1.515	8.165	3.45	6.325	21.2	57.1265072	8.6208932	1.51173995	33.40662686	15.42676163	55.51147461	25/09/2019
2C4SW	0.52	0.03	-0.15	0.06	2.12	0.49	57.1264403	8.6151892	0.838152432	33.62559783	14.64233112	94.58866119	25/09/2019
2C5RW	4.23	0.59	10.055	0.625	4.305	3.64	57.596185	9.957084	0.715409818	33.36212882	14.11095619	105.4853439	26/09/2019
2C5SW	0.99	0.105	1.54	0.22	3.95	0.885	57.5921291	9.94725756	3.742063063	33.29591408	13.93986511	101.0954857	26/09/2019
2C6RW	3.835	0.15	1.62	0.395	9.94	3.685	57.14392	10.42871	2.275139136	24.55660816	9.206731796	64.76974487	29/10/2019
2C6SW	1.735	0.09	0.17	0.27	3.82	1.645	57.13986	10.42954	1.751237734	25.10060756	9.390329361	99.35560226	29/10/2019
2C7RW	0.945	0.04	-0.205	0.165	4.105	0.905	57.3214171	11.1282307	0.808215209	25.79792948	10.57108021	33.94098282	28/10/2019
2C7SW	0.615	0	-0.17	0.175	4.04	0.615	57.32297997	11.13292171	2.305076359	26.11983898	11.07722187	102.8416634	28/10/2019
2C8EW	1.38	0.225	3.345	0.975	15.285	1.155	57.05959471	9.87131989	2.679291646	25.91790358	17.43560982	106.8047523	03/09/2019
2C8RW	2.075	0.31	6	2.915	31.34	1.765	57.0550982	9.8705184	7.746031921	25.6496519	18.14898682	35.94970703	03/09/2019
2C8SW	0.895	0.175	2.76	1.035	14.63	0.72	57.01030036	9.63479997	2.305076359	25.92457883	17.65885353	66.93477631	03/09/2019
2C9EW	0.465	0.095	4.185	2.635	22.3	0.37	56.71051209	9.20700727	8.291712653	26.54163277	17.74905586	97.86863327	04/09/2019
2C9RW	3.15	0.265	3.92	2.51	25.02	2.885	56.706257	9.2016147	6.031452317	26.46904128	17.84535027	29.6046257	04/09/2019
2C9SW	0.3	0.055	4.68	2.89	20.965	0.245	56.71280751	9.2091164	10.45300053	26.55463572	17.83140945	101.0923386	04/09/2019
C10EW	0.325	0.045	0.845	0.085	0.125	0.28	56.55391126	8.61017776	0.778837858	29.17519075	12.18181324	57.73611069	15/05/2019
C10RW	0.74	0.09	1.89	0.125	0.44	0.65	56.55032935	8.61454023	1.303736124	29.35614481	13.30607605	32.46164322	15/05/2019
C10SW	0.15	0.02	0.775	0.07	0.13	0.13	56.55925617	8.61504498	1.341157653	29.02708831	13.50002003	50.75616837	15/05/2019
C11RW	0.54	0.04	1.09	0.51	3.08	0.5	56.8039704	10.282349	2.299035027	22.83295137	13.0819788	33.41369629	13/05/2019
C11SW	0.08	0.01	0.42	0.135	3.19	0.07	56.79719521	10.28607025	1.31122043	22.83295137	13.0819788	33.41369629	13/05/2019
C12RW	2.835	0.075	1.595	0.66	10.485	2.76	56.60978684	10.30299737	1.008854478	NA	NA	NA	02/05/2019
C12SW	8.465	0.165	3	0.44	22.02	8.3	56.60705356	10.29712065	1.736328997	NA	NA	NA	02/05/2019
C13RW	1.69	0	0.75	-0.08	4.615	1.69	56.44552427	10.95986495	0.411606879	NA	NA	NA	01/05/2019
C13SW	0.74	-0.005	0.255	-0.085	3.345	0.745	56.44816462	10.95508786	0.069633981	NA	NA	NA	01/05/2019
C14RW	0.475	0.015	0.685	0.04	1.17	0.46	56.1388617	10.219473	1.218415039	21.70366803	11.44521809	50.59261322	27/05/2019
