Root	Community	Cluster	Season	Habitat	Substrate	Lat	Lon	Geographic_Order	Sub_Area	New_Area	dist_from_C33.km
C11RB	C11RB	11	spring	rocks	sediment	56.7972	10.28607	225	Kattegat	Kattegat	386.8643
C11RW	C11RW	11	spring	rocks	water	56.7972	10.28607	226	Kattegat	Kattegat	386.8643
C11SB	C11SB	11	spring	sand	sediment	56.7972	10.28607	227	Kattegat	Kattegat	386.8643
C11SW	C11SW	11	spring	sand	water	56.7972	10.28607	228	Kattegat	Kattegat	386.8643
2C7RB	2C7RB	7	autumn	rocks	sediment	57.32298	11.132922	229	Kattegat	Kattegat	391.9147
2C7SB	2C7SB	7	autumn	sand	sediment	57.32298	11.132922	231	Kattegat	Kattegat	391.9147
2C7SW	2C7SW	7	autumn	sand	water	57.32298	11.132922	232	Kattegat	Kattegat	391.9147
C7RB	C7RB	7	spring	rocks	sediment	57.32298	11.132922	233	Kattegat	Kattegat	391.9147
C7RW	C7RW	7	spring	rocks	water	57.32298	11.132922	234	Kattegat	Kattegat	391.9147
C7SB	C7SB	7	spring	sand	sediment	57.32298	11.132922	235	Kattegat	Kattegat	391.9147
C7SW	C7SW	7	spring	sand	water	57.32298	11.132922	236	Kattegat	Kattegat	391.9147
2C6RB	2C6RB	6	autumn	rocks	sediment	57.31915	10.532144	237	Kattegat	Kattegat	410.844
2C6RW	2C6RW	6	autumn	rocks	water	57.31915	10.532144	238	Kattegat	Kattegat	410.844
2C6SB	2C6SB	6	autumn	sand	sediment	57.31915	10.532144	239	Kattegat	Kattegat	410.844
2C6SW	2C6SW	6	autumn	sand	water	57.31915	10.532144	240	Kattegat	Kattegat	410.844
C6RB	C6RB	6	spring	rocks	sediment	57.31915	10.532144	241	Kattegat	Kattegat	410.844
C6RW	C6RW	6	spring	rocks	water	57.31915	10.532144	242	Kattegat	Kattegat	410.844
C6SB	C6SB	6	spring	sand	sediment	57.31915	10.532144	243	Kattegat	Kattegat	410.844
C6SW	C6SW	6	spring	sand	water	57.31915	10.532144	244	Kattegat	Kattegat	410.844
2C8EB	2C8EB	8	autumn	eelgrass	sediment	57.0103	9.6348	245	Limfjord	Limfjord	445.3668
2C8EW	2C8EW	8	autumn	eelgrass	water	57.0103	9.6348	246	Limfjord	Limfjord	445.3668
2C8RB	2C8RB	8	autumn	rocks	sediment	57.0103	9.6348	247	Limfjord	Limfjord	445.3668
2C8RW	2C8RW	8	autumn	rocks	water	57.0103	9.6348	248	Limfjord	Limfjord	445.3668
2C8SB	2C8SB	8	autumn	sand	sediment	57.0103	9.6348	249	Limfjord	Limfjord	445.3668
2C8SW	2C8SW	8	autumn	sand	water	57.0103	9.6348	250	Limfjord	Limfjord	445.3668
C8EB	C8EB	8	spring	eelgrass	sediment	57.0103	9.6348	251	Limfjord	Limfjord	445.3668
C8EW	C8EW	8	spring	eelgrass	water	57.0103	9.6348	252	Limfjord	Limfjord	445.3668
C8RB	C8RB	8	spring	rocks	sediment	57.0103	9.6348	253	Limfjord	Limfjord	445.3668
C8RW	C8RW	8	spring	rocks	water	57.0103	9.6348	254	Limfjord	Limfjord	445.3668
C8SB	C8SB	8	spring	sand	sediment	57.0103	9.6348	255	Limfjord	Limfjord	445.3668
C8SW	C8SW	8	spring	sand	water	57.0103	9.6348	256	Limfjord	Limfjord	445.3668
